file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,psnr_avg,bitrate_kbps
Bosphorus_LCEVC_AVC_SW2-1750_QP32_2025-07-10_01-07-25.lvc,1750,32,7230259,597625,6632634,91.7344%,39.02,5784.21
Bosphorus_LCEVC_AVC_SW2-1750_QP35_2025-07-10_01-07-25.lvc,1750,35,8335135,372268,7962867,95.5337%,38.16,6668.11
Bosphorus_LCEVC_AVC_SW2-1750_QP27_2025-07-10_01-07-25.lvc,1750,27,5550427,1306835,4243592,76.4552%,40.54,4440.34
Bosphorus_LCEVC_AVC_SW2-1750_QP37_2025-07-10_01-07-25.lvc,1750,37,9035073,269424,8765649,97.0180%,37.64,7228.06
Bosphorus_LCEVC_AVC_SW2-1750_QP30_2025-07-10_01-07-25.lvc,1750,30,6491608,824311,5667297,87.3019%,39.66,5193.29
Bosphorus_LCEVC_AVC_SW2-2250_QP27_2025-07-10_01-11-24.lvc,2250,27,2525179,1306835,1218344,48.2478%,39.92,2020.14
Bosphorus_LCEVC_AVC_SW2-2250_QP32_2025-07-10_01-11-24.lvc,2250,32,3331289,597625,2733664,82.0602%,38.18,2665.03
Bosphorus_LCEVC_AVC_SW2-2250_QP35_2025-07-10_01-11-24.lvc,2250,35,4159108,372268,3786840,91.0493%,37.37,3327.29
Bosphorus_LCEVC_AVC_SW2-2250_QP37_2025-07-10_01-11-25.lvc,2250,37,4746047,269424,4476623,94.3232%,36.88,3796.84
Bosphorus_LCEVC_AVC_SW2-2250_QP30_2025-07-10_01-11-26.lvc,2250,30,2875635,824311,2051324,71.3346%,38.85,2300.51
Bosphorus_LCEVC_AVC_SW2-1750_QP25_2025-07-10_01-10-34.lvc,1750,25,6613627,1789485,4824142,72.9425%,41.28,5290.90
Bosphorus_LCEVC_AVC_SW2-1750_QP22_2025-07-10_01-10-36.lvc,1750,22,6171864,2994814,3177050,51.4763%,42.29,4937.49
Bosphorus_LCEVC_AVC_SW2-2750_QP35_2025-07-10_01-15-00.lvc,2750,35,1793194,372268,1420926,79.2399%,36.54,1434.56
Bosphorus_LCEVC_AVC_SW2-2750_QP27_2025-07-10_01-14-59.lvc,2750,27,1536124,1306835,229289,14.9265%,39.76,1228.90
Bosphorus_LCEVC_AVC_SW2-2750_QP37_2025-07-10_01-15-00.lvc,2750,37,2175961,269424,1906537,87.6182%,35.96,1740.77
Bosphorus_LCEVC_AVC_SW2-2750_QP32_2025-07-10_01-14-59.lvc,2750,32,1407158,597625,809533,57.5296%,37.58,1125.73
Bosphorus_LCEVC_AVC_SW2-2750_QP30_2025-07-10_01-15-08.lvc,2750,30,1332530,824311,508219,38.1394%,38.44,1066.02
Bosphorus_LCEVC_AVC_SW2-2250_QP22_2025-07-10_01-15-42.lvc,2250,22,3531521,2994814,536707,15.1976%,42.03,2825.22
Bosphorus_LCEVC_AVC_SW2-2250_QP25_2025-07-10_01-15-42.lvc,2250,25,2861167,1789485,1071682,37.4561%,40.74,2288.93
Bosphorus_LCEVC_AVC_SW2-3250_QP37_2025-07-10_01-18-44.lvc,3250,37,871277,269424,601853,69.0771%,35.32,697.02
Bosphorus_LCEVC_AVC_SW2-3250_QP35_2025-07-10_01-18-44.lvc,3250,35,762785,372268,390517,51.1962%,36.08,610.23
Bosphorus_LCEVC_AVC_SW2-3250_QP27_2025-07-10_01-18-43.lvc,3250,27,1342845,1306835,36010,2.6816%,39.74,1074.28
Bosphorus_LCEVC_AVC_SW2-3250_QP32_2025-07-10_01-18-44.lvc,3250,32,776006,597625,178381,22.9871%,37.39,620.80
Bosphorus_LCEVC_AVC_SW2-3250_QP30_2025-07-10_01-18-41.lvc,3250,30,916195,824311,91884,10.0289%,38.36,732.96
Bosphorus_LCEVC_AVC_SW2-2750_QP25_2025-07-10_01-20-19.lvc,2750,25,1958104,1789485,168619,8.6113%,40.65,1566.48
Bosphorus_LCEVC_AVC_SW2-2750_QP22_2025-07-10_01-20-17.lvc,2750,22,3083003,2994814,88189,2.8605%,41.99,2466.40
Bosphorus_LCEVC_AVC_SW2-3250_QP25_2025-07-10_01-24-48.lvc,3250,25,1831695,1789485,42210,2.3044%,40.64,1465.36
Bosphorus_LCEVC_AVC_SW2-3250_QP22_2025-07-10_01-24-49.lvc,3250,22,3031413,2994814,36599,1.2073%,41.98,2425.13
Bosphorus_AVC-Only_QP37.264,264,37,1047004,0,0,0%,37.71,837.60
Bosphorus_AVC-Only_QP35.264,264,35,1352315,0,0,0%,38.82,1081.85
Bosphorus_AVC-Only_QP32.264,264,32,2005088,0,0,0%,40.36,1604.07
Bosphorus_AVC-Only_QP30.264,264,30,2660081,0,0,0%,41.41,2128.06
Bosphorus_AVC-Only_QP27.264,264,27,4038641,0,0,0%,42.85,3230.91
Bosphorus_AVC-Only_QP25.264,264,25,5455551,0,0,0%,43.88,4364.44
Bosphorus_AVC-Only_QP22.264,264,22,9055951,0,0,0%,45.29,7244.76
