file, sw2, qp, lvc_size, base_size, enhance_size, enhancement_ratio,psnr_avg,bitrate_kbps
Bosphorus_LCEVC_AVC_SW2-750_QP22_2025-07-03_18-15-05.lvc,750,22,50715699,2994814,47720885,94.0949%,44.43,40572.56
Bosphorus_LCEVC_AVC_SW2-1250_QP22_2025-07-03_18-19-37.lvc,1250,22,16461152,2994814,13466338,81.8068%,43.25,13168.92
Bosphorus_LCEVC_AVC_SW2-1750_QP22_2025-07-03_18-23-54.lvc,1750,22,6171864,2994814,3177050,51.4763%,42.29,4937.49
Bosphorus_LCEVC_AVC_SW2-2250_QP22_2025-07-03_18-28-12.lvc,2250,22,3531521,2994814,536707,15.1976%,42.03,2825.22
Bosphorus_LCEVC_AVC_SW2-2750_QP22_2025-07-03_18-32-30.lvc,2750,22,3083003,2994814,88189,2.8605%,41.99,2466.40
Bosphorus_LCEVC_AVC_SW2-3250_QP22_2025-07-03_18-36-47.lvc,3250,22,3031413,2994814,36599,1.2073%,41.98,2425.13
Bosphorus_LCEVC_AVC_SW2-750_QP25_2025-07-03_19-31-15.lvc,750,25,53842930,1789485,52053445,96.6765%,43.41,43074.34
Bosphorus_LCEVC_AVC_SW2-1250_QP25_2025-07-03_19-35-46.lvc,1250,25,18239014,1789485,16449529,90.1887%,42.36,14591.21
Bosphorus_LCEVC_AVC_SW2-1750_QP25_2025-07-03_19-40-08.lvc,1750,25,6613627,1789485,4824142,72.9425%,41.28,5290.90
Bosphorus_LCEVC_AVC_SW2-2250_QP25_2025-07-03_19-44-26.lvc,2250,25,2861167,1789485,1071682,37.4561%,40.74,2288.93
Bosphorus_LCEVC_AVC_SW2-2750_QP25_2025-07-03_19-48-43.lvc,2750,25,1958104,1789485,168619,8.6113%,40.65,1566.48
Bosphorus_LCEVC_AVC_SW2-3250_QP25_2025-07-03_19-52-58.lvc,3250,25,1831695,1789485,42210,2.3044%,40.64,1465.36
Bosphorus_LCEVC_AVC_SW2-250_QP27_2025-07-03_19-57-15.lvc,250,27,89155465,1306835,87848630,98.5342%,42.24,71324.37
Bosphorus_LCEVC_AVC_SW2-750_QP27_2025-07-03_20-00-55.lvc,750,27,31900871,1306835,30594036,95.9035%,41.95,25520.70
Bosphorus_LCEVC_AVC_SW2-1250_QP27_2025-07-03_20-04-26.lvc,1250,27,13300950,1306835,11994115,90.1749%,41.33,10640.76
Bosphorus_LCEVC_AVC_SW2-1750_QP27_2025-07-03_20-07-51.lvc,1750,27,5550427,1306835,4243592,76.4552%,40.54,4440.34
Bosphorus_LCEVC_AVC_SW2-2250_QP27_2025-07-03_20-11-14.lvc,2250,27,2525179,1306835,1218344,48.2478%,39.92,2020.14
Bosphorus_LCEVC_AVC_SW2-2750_QP27_2025-07-03_20-14-34.lvc,2750,27,1536124,1306835,229289,14.9265%,39.76,1228.90
Bosphorus_LCEVC_AVC_SW2-3250_QP27_2025-07-03_20-17-56.lvc,3250,27,1342845,1306835,36010,2.6816%,39.74,1074.28
Bosphorus_LCEVC_AVC_SW2-250_QP30_2025-07-03_21-13-31.lvc,250,30,91846757,824311,91022446,99.1025%,41.15,73477.41
Bosphorus_LCEVC_AVC_SW2-750_QP30_2025-07-03_21-17-06.lvc,750,30,34313175,824311,33488864,97.5977%,40.93,27450.54
Bosphorus_LCEVC_AVC_SW2-1250_QP30_2025-07-03_21-20-37.lvc,1250,30,14895451,824311,14071140,94.4660%,40.41,11916.36
Bosphorus_LCEVC_AVC_SW2-1750_QP30_2025-07-03_21-24-02.lvc,1750,30,6491608,824311,5667297,87.3019%,39.66,5193.29
