file, sw2, lvc_size, base_size, enhance_size, enhancement_ratio,psnr_avg
Bosphorus_LCEVC_AVC_SW2-4000_QP24_2025-06-20_21-00-24.lvc, 4000, 2163629,2133292,30337,1.4021%,41.16
Bosphorus_LCEVC_AVC_SW2-3900_QP24_2025-06-20_21-41-11.lvc, 3900, 2163721,2133292,30429,1.4063%,41.16
Bosphorus_LCEVC_AVC_SW2-3800_QP24_2025-06-20_21-45-28.lvc, 3800, 2163953,2133292,30661,1.4169%,41.16
Bosphorus_LCEVC_AVC_SW2-3700_QP24_2025-06-20_21-49-45.lvc, 3700, 2164313,2133292,31021,1.4333%,41.16
Bosphorus_LCEVC_AVC_SW2-3600_QP24_2025-06-20_21-53-57.lvc, 3600, 2165059,2133292,31767,1.4673%,41.16
Bosphorus_LCEVC_AVC_SW2-3500_QP24_2025-06-20_21-58-14.lvc, 3500, 2166040,2133292,32748,1.5119%,41.16
Bosphorus_LCEVC_AVC_SW2-3400_QP24_2025-06-20_22-02-32.lvc, 3400, 2167534,2133292,34242,1.5798%,41.16
Bosphorus_LCEVC_AVC_SW2-3300_QP24_2025-06-20_22-06-49.lvc, 3300, 2170448,2133292,37156,1.7119%,41.16
Bosphorus_LCEVC_AVC_SW2-3200_QP24_2025-06-20_22-11-04.lvc, 3200, 2174609,2133292,41317,1.9000%,41.16
Bosphorus_LCEVC_AVC_SW2-3100_QP24_2025-06-20_22-15-21.lvc, 3100, 2181806,2133292,48514,2.2236%,41.16
Bosphorus_LCEVC_AVC_SW2-3000_QP24_2025-06-20_22-19-38.lvc, 3000, 2192628,2133292,59336,2.7062%,41.16
Bosphorus_LCEVC_AVC_SW2-2900_QP24_2025-06-20_22-23-54.lvc, 2900, 2210945,2133292,77653,3.5122%,41.16
Bosphorus_LCEVC_AVC_SW2-2800_QP24_2025-06-20_22-28-11.lvc, 2800, 2241352,2133292,108060,4.8212%,41.17
Bosphorus_LCEVC_AVC_SW2-2700_QP24_2025-06-20_22-32-29.lvc, 2700, 2287416,2133292,154124,6.7379%,41.17
Bosphorus_LCEVC_AVC_SW2-2600_QP24_2025-06-20_22-36-47.lvc, 2600, 2370278,2133292,236986,9.9982%,41.18
Bosphorus_LCEVC_AVC_SW2-2500_QP24_2025-06-20_22-41-05.lvc, 2500, 2480798,2133292,347506,14.0078%,41.18
Bosphorus_LCEVC_AVC_SW2-2400_QP24_2025-06-20_22-45-23.lvc, 2400, 2635218,2133292,501926,19.0468%,41.19
Bosphorus_LCEVC_AVC_SW2-2300_QP24_2025-06-20_22-49-39.lvc, 2300, 2851486,2133292,718194,25.1867%,41.21
