file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,psnr_avg,bitrate_kbps
City_AVC-Only_QP37.264,264,37,501615,0,0,0%,32.05,401.29
City_AVC-Only_QP35.264,264,35,638380,0,0,0%,33.30,510.70
City_AVC-Only_QP32.264,264,32,958844,0,0,0%,35.31,767.08
City_AVC-Only_QP30.264,264,30,1310776,0,0,0%,36.69,1048.62
City_AVC-Only_QP27.264,264,27,2118825,0,0,0%,38.71,1695.06
City_AVC-Only_QP25.264,264,25,3040417,0,0,0%,40.03,2432.33
City_AVC-Only_QP22.264,264,22,6240361,0,0,0%,42.23,4992.29
City_LCEVC_AVC_SW2-1750_QP37_2025-07-18_15-18-01.lvc,1750,37,8372037,138451,8233586,98.3463%,35.80,6697.63
City_LCEVC_AVC_SW2-1750_QP35_2025-07-18_15-18-26.lvc,1750,35,7745269,183408,7561861,97.6320%,35.93,6196.22
City_LCEVC_AVC_SW2-2250_QP37_2025-07-18_15-18-49.lvc,2250,37,4050215,138451,3911764,96.5816%,33.28,3240.17
City_LCEVC_AVC_SW2-1750_QP32_2025-07-18_15-19-01.lvc,1750,32,6718220,285056,6433164,95.7570%,36.20,5374.58
City_LCEVC_AVC_SW2-2250_QP35_2025-07-18_15-19-14.lvc,2250,35,3561072,183408,3377664,94.8496%,33.43,2848.86
City_LCEVC_AVC_SW2-1750_QP30_2025-07-18_15-19-24.lvc,1750,30,6090340,387256,5703084,93.6415%,36.35,4872.27
City_LCEVC_AVC_SW2-2750_QP37_2025-07-18_15-19-37.lvc,2750,37,1824825,138451,1686374,92.4129%,31.07,1459.86
City_LCEVC_AVC_SW2-1750_QP27_2025-07-18_15-19-48.lvc,1750,27,5387011,613866,4773145,88.6047%,36.58,4309.61
City_LCEVC_AVC_SW2-2250_QP32_2025-07-18_15-19-50.lvc,2250,32,2889480,285056,2604424,90.1347%,33.68,2311.58
City_LCEVC_AVC_SW2-2750_QP35_2025-07-18_15-20-02.lvc,2750,35,1524715,183408,1341307,87.9710%,31.28,1219.77
City_LCEVC_AVC_SW2-2250_QP30_2025-07-18_15-20-12.lvc,2250,30,2563927,387256,2176671,84.8960%,33.89,2051.14
City_LCEVC_AVC_SW2-3250_QP37_2025-07-18_15-20-24.lvc,3250,37,726720,138451,588269,80.9485%,29.34,581.38
City_LCEVC_AVC_SW2-2250_QP27_2025-07-18_15-20-36.lvc,2250,27,2333279,613866,1719413,73.6908%,34.30,1866.62
City_LCEVC_AVC_SW2-2750_QP32_2025-07-18_15-20-37.lvc,2750,32,1208871,285056,923815,76.4197%,31.74,967.10
City_LCEVC_AVC_SW2-3250_QP35_2025-07-18_15-20-48.lvc,3250,35,593743,183408,410335,69.1099%,29.77,474.99
City_LCEVC_AVC_SW2-2750_QP30_2025-07-18_15-20-59.lvc,2750,30,1110683,387256,723427,65.1335%,32.19,888.55
City_LCEVC_AVC_SW2-1750_QP22_2025-07-18_15-20-52.lvc,1750,22,5653959,1476057,4177902,73.8934%,37.14,4523.17
City_LCEVC_AVC_SW2-1750_QP25_2025-07-18_15-21-07.lvc,1750,25,5713823,847962,4865861,85.1595%,36.82,4571.06
City_LCEVC_AVC_SW2-3250_QP32_2025-07-18_15-21-24.lvc,3250,32,531743,285056,246687,46.3921%,30.66,425.39
City_LCEVC_AVC_SW2-2750_QP27_2025-07-18_15-21-23.lvc,2750,27,1162187,613866,548321,47.1801%,32.99,929.75
City_LCEVC_AVC_SW2-3250_QP30_2025-07-18_15-21-45.lvc,3250,30,586024,387256,198768,33.9181%,31.38,468.82
City_LCEVC_AVC_SW2-2250_QP22_2025-07-18_15-21-52.lvc,2250,22,2844648,1476057,1368591,48.1111%,35.32,2275.72
City_LCEVC_AVC_SW2-3250_QP27_2025-07-18_15-22-10.lvc,3250,27,779048,613866,165182,21.2031%,32.34,623.24
City_LCEVC_AVC_SW2-2250_QP25_2025-07-18_15-22-07.lvc,2250,25,2480613,847962,1632651,65.8164%,34.70,1984.49
City_LCEVC_AVC_SW2-2750_QP22_2025-07-18_15-22-50.lvc,2750,22,1943942,1476057,467885,24.0689%,34.27,1555.15
City_LCEVC_AVC_SW2-2750_QP25_2025-07-18_15-23-05.lvc,2750,25,1368000,847962,520038,38.0145%,33.55,1094.40
City_LCEVC_AVC_SW2-3250_QP22_2025-07-18_15-23-48.lvc,3250,22,1638761,1476057,162704,9.9285%,33.57,1311.01
City_LCEVC_AVC_SW2-3250_QP25_2025-07-18_15-24-04.lvc,3250,25,1018562,847962,170600,16.7491%,32.92,814.85
