file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,psnr_avg,bitrate_kbps
City-Resample,0,0,364953600,0,0,0%,33.39,0
City_LCEVC_VVC_SW2-1750_QP37_2025-07-18_16-15-30.lvc,1750,37,3920961,109913,3811048,97.1968%,34.17,3136.77
City_LCEVC_VVC_SW2-2250_QP37_2025-07-18_16-16-22.lvc,2250,37,1236218,109913,1126305,91.1089%,31.40,988.97
City_LCEVC_VVC_SW2-2750_QP37_2025-07-18_16-17-15.lvc,2750,37,329946,109913,220033,66.6876%,29.39,263.96
City_LCEVC_VVC_SW2-3250_QP37_2025-07-18_16-18-06.lvc,3250,37,151358,109913,41445,27.3821%,28.72,121.09
City_LCEVC_VVC_SW2-1750_QP35_2025-07-18_16-23-49.lvc,1750,35,3452211,143755,3308456,95.8359%,34.34,2761.77
City_LCEVC_VVC_SW2-2250_QP35_2025-07-18_16-24-40.lvc,2250,35,1055294,143755,911539,86.3777%,31.70,844.24
City_LCEVC_VVC_SW2-2750_QP35_2025-07-18_16-25-30.lvc,2750,35,316043,143755,172288,54.5141%,29.94,252.83
City_LCEVC_VVC_SW2-3250_QP35_2025-07-18_16-26-20.lvc,3250,35,178832,143755,35077,19.6145%,29.38,143.07
City_LCEVC_VVC_SW2-1750_QP32_2025-07-18_16-41-08.lvc,1750,32,2928832,212073,2716759,92.7591%,34.61,2343.07
City_LCEVC_VVC_SW2-2250_QP32_2025-07-18_16-41-59.lvc,2250,32,900503,212073,688430,76.4495%,32.13,720.40
City_LCEVC_VVC_SW2-2750_QP32_2025-07-18_16-42-49.lvc,2750,32,348487,212073,136414,39.1446%,30.71,278.79
City_LCEVC_VVC_SW2-3250_QP32_2025-07-18_16-43-41.lvc,3250,32,243280,212073,31207,12.8276%,30.31,194.62
City_LCEVC_VVC_SW2-1750_QP30_2025-07-18_16-57-35.lvc,1750,30,2690957,279013,2411944,89.6315%,34.75,2152.77
City_LCEVC_VVC_SW2-2250_QP30_2025-07-18_16-58-26.lvc,2250,30,873006,279013,593993,68.0400%,32.42,698.40
City_LCEVC_VVC_SW2-2750_QP30_2025-07-18_16-59-16.lvc,2750,30,400518,279013,121505,30.3370%,31.18,320.41
City_LCEVC_VVC_SW2-3250_QP30_2025-07-18_17-00-06.lvc,3250,30,308953,279013,29940,9.6908%,30.82,247.16
City_LCEVC_VVC_SW2-1750_QP27_2025-07-18_17-22-19.lvc,1750,27,2500581,420521,2080060,83.1831%,35.05,2000.46
City_LCEVC_VVC_SW2-2250_QP27_2025-07-18_17-23-10.lvc,2250,27,930172,420521,509651,54.7910%,32.98,744.14
City_LCEVC_VVC_SW2-2750_QP27_2025-07-18_17-24-00.lvc,2750,27,533153,420521,112632,21.1256%,31.95,426.52
City_LCEVC_VVC_SW2-3250_QP27_2025-07-18_17-24-50.lvc,3250,27,450326,420521,29805,6.6185%,31.61,360.26
City_VVC-Only_QP37.bin,265,37,379100,0,0,0%,31.88,303.28
City_LCEVC_VVC_SW2-1750_QP25_2025-07-18_17-49-29.lvc,1750,25,2616190,579726,2036464,77.8408%,35.24,2092.95
City_LCEVC_VVC_SW2-2250_QP25_2025-07-18_17-50-32.lvc,2250,25,1083619,579726,503893,46.5009%,33.29,866.90
City_LCEVC_VVC_SW2-2750_QP25_2025-07-18_17-51-34.lvc,2750,25,704960,579726,125234,17.7647%,32.37,563.97
City_LCEVC_VVC_SW2-3250_QP25_2025-07-18_17-52-35.lvc,3250,25,623414,579726,43688,7.0079%,32.02,498.73
City_VVC-Only_QP35.bin,265,35,488459,0,0,0%,32.88,390.77
City_LCEVC_VVC_SW2-1750_QP22_2025-07-18_18-35-50.lvc,1750,22,2783365,954597,1828768,65.7035%,35.54,2226.69
City_LCEVC_VVC_SW2-2250_QP22_2025-07-18_18-36-52.lvc,2250,22,1430252,954597,475655,33.2567%,33.81,1144.20
City_LCEVC_VVC_SW2-2750_QP22_2025-07-18_18-37-54.lvc,2750,22,1079067,954597,124470,11.5350%,32.94,863.25
City_LCEVC_VVC_SW2-3250_QP22_2025-07-18_18-38-57.lvc,3250,22,998109,954597,43512,4.3594%,32.56,798.49
City_VVC-Only_QP32.bin,265,32,696995,0,0,0%,34.53,557.60
City_VVC-Only_QP30.bin,265,30,892759,0,0,0%,35.39,714.21
