file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,psnr_avg,bitrate_kbps
Jockey_LCEVC_AVC_SW2-1250_QP22_2025-07-15_01-36-34.lvc,1250,22,9141236,3563776,5577460,61.0143%,42.26,7312.99
Jockey_LCEVC_AVC_SW2-1750_QP22_2025-07-15_01-41-01.lvc,1750,22,5158218,3563776,1594442,30.9107%,42.03,4126.57
Jockey_LCEVC_AVC_SW2-2250_QP22_2025-07-15_01-45-24.lvc,2250,22,3923132,3563776,359356,9.1599%,41.95,3138.51
Jockey_LCEVC_AVC_SW2-2750_QP22_2025-07-15_01-49-50.lvc,2750,22,3658403,3563776,94627,2.5866%,41.93,2926.72
Jockey_LCEVC_AVC_SW2-3250_QP22_2025-07-15_01-54-14.lvc,3250,22,3603619,3563776,39843,1.1056%,41.92,2882.90
Jockey_AVC-Only_QP37.264,264,37,1932479,0,0,0%,38.48,1545.98
Jockey_AVC-Only_QP35.264,264,35,2294827,0,0,0%,39.43,1835.86
Jockey_AVC-Only_QP32.264,264,32,3132841,0,0,0%,40.73,2506.27
Jockey_LCEVC_AVC_SW2-750_QP37_2025-07-15_02-24-04.lvc,750,37,12961724,626479,12335245,95.1667%,37.07,10369.38
Jockey_AVC-Only_QP30.264,264,30,3935452,0,0,0%,41.48,3148.36
Jockey_LCEVC_AVC_SW2-750_QP35_2025-07-15_02-24-48.lvc,750,35,12398931,766054,11632877,93.8216%,37.88,9919.14
Jockey_LCEVC_AVC_SW2-750_QP32_2025-07-15_02-26-24.lvc,750,32,11593703,1063557,10530146,90.8264%,39.04,9274.96
Jockey_AVC-Only_QP27.264,264,27,5398380,0,0,0%,42.42,4318.70
Jockey_LCEVC_AVC_SW2-1250_QP37_2025-07-15_02-27-36.lvc,1250,37,6575817,626479,5949338,90.4730%,36.97,5260.65
Jockey_LCEVC_AVC_SW2-750_QP30_2025-07-15_02-27-43.lvc,750,30,11144357,1354073,9790284,87.8497%,39.79,8915.49
Jockey_AVC-Only_QP25.264,264,25,6743403,0,0,0%,43.03,5394.72
Jockey_LCEVC_AVC_SW2-1250_QP35_2025-07-15_02-28-29.lvc,1250,35,6184019,766054,5417965,87.6124%,37.77,4947.22
Jockey_LCEVC_AVC_SW2-750_QP27_2025-07-15_02-29-33.lvc,750,27,10606232,1901668,8704564,82.0703%,40.83,8484.99
Jockey_LCEVC_AVC_SW2-1250_QP32_2025-07-15_02-29-54.lvc,1250,32,5669160,1063557,4605603,81.2396%,38.91,4535.33
Jockey_AVC-Only_QP22.264,264,22,10029224,0,0,0%,43.84,8023.38
Jockey_LCEVC_AVC_SW2-1750_QP37_2025-07-15_02-31-04.lvc,1750,37,3666706,626479,3040227,82.9144%,36.84,2933.36
Jockey_LCEVC_AVC_SW2-1250_QP30_2025-07-15_02-31-12.lvc,1250,30,5429184,1354073,4075111,75.0594%,39.64,4343.35
Jockey_LCEVC_AVC_SW2-1750_QP35_2025-07-15_02-31-59.lvc,1750,35,3403739,766054,2637685,77.4938%,37.63,2722.99
Jockey_LCEVC_AVC_SW2-1250_QP27_2025-07-15_02-33-03.lvc,1250,27,5213298,1901668,3311630,63.5227%,40.65,4170.64
Jockey_LCEVC_AVC_SW2-1750_QP32_2025-07-15_02-33-28.lvc,1750,32,3128555,1063557,2064998,66.0048%,38.74,2502.84
Jockey_LCEVC_AVC_SW2-2250_QP37_2025-07-15_02-34-29.lvc,2250,37,2228520,626479,1602041,71.8881%,36.66,1782.82
Jockey_LCEVC_AVC_SW2-1750_QP30_2025-07-15_02-34-39.lvc,1750,30,3054821,1354073,1700748,55.6742%,39.46,2443.86
