file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,psnr_avg,bitrate_kbps
Jockey_LCEVC_VVC_SW2-1250_QP22_2025-07-16_22-23-15.lvc,1250,22,4255431,2113040,2142391,50.3449%,41.76,3404.34
Jockey_LCEVC_VVC_SW2-1750_QP22_2025-07-16_22-27-57.lvc,1750,22,2579514,2113040,466474,18.0838%,41.55,2063.61
Jockey_LCEVC_VVC_SW2-2250_QP22_2025-07-16_22-32-41.lvc,2250,22,2213858,2113040,100818,4.5540%,41.47,1771.09
Jockey_LCEVC_VVC_SW2-2750_QP22_2025-07-16_22-37-23.lvc,2750,22,2150825,2113040,37785,1.7568%,41.45,1720.66
Jockey_LCEVC_VVC_SW2-3250_QP22_2025-07-16_22-42-05.lvc,3250,22,2144480,2113040,31440,1.4661%,41.44,1715.58
Jockey_LCEVC_VVC_SW2-1250_QP37_2025-07-17_01-12-13.lvc,1250,37,3297022,308471,2988551,90.6440%,36.12,2637.62
Jockey_LCEVC_VVC_SW2-1750_QP37_2025-07-17_01-15-53.lvc,1750,37,1641431,308471,1332960,81.2072%,35.98,1313.14
Jockey_LCEVC_VVC_SW2-2250_QP37_2025-07-17_01-19-32.lvc,2250,37,799599,308471,491128,61.4218%,35.73,639.68
Jockey_LCEVC_VVC_SW2-2750_QP37_2025-07-17_01-23-10.lvc,2750,37,465833,308471,157362,33.7808%,35.47,372.67
Jockey_LCEVC_VVC_SW2-3250_QP37_2025-07-17_01-26-47.lvc,3250,37,361623,308471,53152,14.6982%,35.33,289.30
Jockey_LCEVC_VVC_SW2-750_QP35_2025-07-17_01-45-42.lvc,750,35,5981528,392392,5589136,93.4399%,36.98,4785.22
Jockey_LCEVC_VVC_SW2-1250_QP35_2025-07-17_01-49-24.lvc,1250,35,3040690,392392,2648298,87.0953%,36.88,2432.55
Jockey_LCEVC_VVC_SW2-1750_QP35_2025-07-17_01-53-02.lvc,1750,35,1503157,392392,1110765,73.8955%,36.72,1202.53
Jockey_LCEVC_VVC_SW2-2250_QP35_2025-07-17_01-56-38.lvc,2250,35,766373,392392,373981,48.7988%,36.47,613.10
Jockey_LCEVC_VVC_SW2-2750_QP35_2025-07-17_02-00-15.lvc,2750,35,498151,392392,105759,21.2303%,36.24,398.52
Jockey_LCEVC_VVC_SW2-3250_QP35_2025-07-17_02-03-51.lvc,3250,35,427912,392392,35520,8.3008%,36.14,342.33
Jockey_LCEVC_VVC_SW2-750_QP32_2025-07-17_03-01-16.lvc,750,32,5451230,560809,4890421,89.7122%,38.39,4360.98
Jockey_LCEVC_VVC_SW2-1250_QP32_2025-07-17_03-04-57.lvc,1250,32,2725308,560809,2164499,79.4222%,38.27,2180.25
Jockey_LCEVC_VVC_SW2-1750_QP32_2025-07-17_03-08-36.lvc,1750,32,1384030,560809,823221,59.4800%,38.08,1107.22
Jockey_LCEVC_VVC_SW2-2250_QP32_2025-07-17_03-12-15.lvc,2250,32,798553,560809,237744,29.7718%,37.83,638.84
Jockey_LCEVC_VVC_SW2-2750_QP32_2025-07-17_03-15-54.lvc,2750,32,615605,560809,54796,8.9012%,37.66,492.48
Jockey_LCEVC_VVC_SW2-3250_QP32_2025-07-17_03-19-38.lvc,3250,32,582988,560809,22179,3.8044%,37.62,466.39
Jockey_LCEVC_VVC_SW2-750_QP30_2025-07-17_04-00-44.lvc,750,30,5168047,728975,4439072,85.8946%,39.12,4134.44
Jockey_LCEVC_VVC_SW2-1250_QP30_2025-07-17_04-04-24.lvc,1250,30,2589599,728975,1860624,71.8499%,38.99,2071.68
Jockey_LCEVC_VVC_SW2-1750_QP30_2025-07-17_04-08-01.lvc,1750,30,1378802,728975,649827,47.1298%,38.78,1103.04
Jockey_LCEVC_VVC_SW2-2250_QP30_2025-07-17_04-11-40.lvc,2250,30,893814,728975,164839,18.4422%,38.55,715.05
Jockey_LCEVC_VVC_SW2-2750_QP30_2025-07-17_04-15-16.lvc,2750,30,765746,728975,36771,4.8020%,38.43,612.60
Jockey_LCEVC_VVC_SW2-3250_QP30_2025-07-17_04-18-54.lvc,3250,30,747523,728975,18548,2.4813%,38.41,598.02
Jockey_VVC-Only_QP37.bin,265,37,704469,0,0,0%,37.86,563.58
Jockey_LCEVC_VVC_SW2-750_QP27_2025-07-17_05-35-10.lvc,750,27,4877484,1057946,3819538,78.3096%,40.32,3901.99
Jockey_LCEVC_VVC_SW2-1250_QP27_2025-07-17_05-38-50.lvc,1250,27,2539946,1057946,1482000,58.3477%,40.16,2031.96
Jockey_LCEVC_VVC_SW2-1750_QP27_2025-07-17_05-42-27.lvc,1750,27,1511930,1057946,453984,30.0268%,39.95,1209.54
Jockey_LCEVC_VVC_SW2-2250_QP27_2025-07-17_05-46-01.lvc,2250,27,1162481,1057946,104535,8.9924%,39.76,929.98
Jockey_LCEVC_VVC_SW2-2750_QP27_2025-07-17_05-49-39.lvc,2750,27,1083226,1057946,25280,2.3338%,39.71,866.58
Jockey_LCEVC_VVC_SW2-3250_QP27_2025-07-17_05-53-16.lvc,3250,27,1075071,1057946,17125,1.5929%,39.69,860.06
Jockey_VVC-Only_QP35.bin,265,35,891197,0,0,0%,38.71,712.96
Jockey_LCEVC_VVC_SW2-1250_QP25_2025-07-17_07-17-34.lvc,1250,25,4202114,1418007,2784107,66.2549%,40.97,3361.69
Jockey_LCEVC_VVC_SW2-1750_QP25_2025-07-17_07-22-08.lvc,1750,25,2102249,1418007,684242,32.5481%,40.71,1681.80
Jockey_LCEVC_VVC_SW2-2250_QP25_2025-07-17_07-26-39.lvc,2250,25,1550252,1418007,132245,8.5305%,40.57,1240.20
Jockey_LCEVC_VVC_SW2-2750_QP25_2025-07-17_07-31-09.lvc,2750,25,1456646,1418007,38639,2.6526%,40.55,1165.32
Jockey_LCEVC_VVC_SW2-3250_QP25_2025-07-17_07-35-41.lvc,3250,25,1449506,1418007,31499,2.1731%,40.53,1159.60
Jockey_VVC-Only_QP32.bin,265,32,1241194,0,0,0%,39.99,992.96
Jockey_VVC-Only_QP30.bin,265,30,1598336,0,0,0%,40.70,1278.67
Jockey_VVC-Only_QP27.bin,265,27,2300814,0,0,0%,41.71,1840.65
Jockey_VVC-Only_QP25.bin,265,25,3111449,0,0,0%,42.40,2489.16
Jockey_VVC-Only_QP22.bin,265,22,4916006,0,0,0%,43.08,3932.80
