file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,psnr_avg,bitrate_kbps
ReadySteadyGo_AVC-Only_QP37.264,264,37,3202280,0,0,0%,34.19,2561.82
ReadySteadyGo_AVC-Only_QP35.264,264,35,3942611,0,0,0%,35.17,3154.09
ReadySteadyGo_AVC-Only_QP32.264,264,32,5479252,0,0,0%,36.90,4383.40
ReadySteadyGo_AVC-Only_QP30.264,264,30,6972340,0,0,0%,38.17,5577.87
ReadySteadyGo_AVC-Only_QP27.264,264,27,9965124,0,0,0%,39.87,7972.10
ReadySteadyGo_AVC-Only_QP25.264,264,25,12696323,0,0,0%,41.05,10157.06
ReadySteadyGo_LCEVC_AVC_SW2-1750_QP30_2025-07-14_09-49-47.lvc,1750,30,11752425,2850680,8901745,75.7439%,36.89,9401.94
ReadySteadyGo_AVC-Only_QP22.264,264,22,18792564,0,0,0%,42.84,15034.05
ReadySteadyGo_LCEVC_AVC_SW2-1750_QP32_2025-07-14_09-50-03.lvc,1750,32,13035047,2169314,10865733,83.3578%,36.49,10428.04
ReadySteadyGo_LCEVC_AVC_SW2-1750_QP27_2025-07-14_09-51-19.lvc,1750,27,10572126,4263862,6308264,59.6688%,37.39,8457.70
ReadySteadyGo_LCEVC_AVC_SW2-1750_QP35_2025-07-14_09-52-08.lvc,1750,35,15352999,1470893,13882106,90.4195%,35.95,12282.40
ReadySteadyGo_LCEVC_AVC_SW2-1750_QP37_2025-07-14_09-53-06.lvc,1750,37,17040380,1144112,15896268,93.2859%,35.66,13632.30
ReadySteadyGo_LCEVC_AVC_SW2-2250_QP30_2025-07-14_09-53-25.lvc,2250,30,5976131,2850680,3125451,52.2989%,35.19,4780.90
ReadySteadyGo_LCEVC_AVC_SW2-2250_QP32_2025-07-14_09-53-43.lvc,2250,32,6439006,2169314,4269692,66.3098%,34.76,5151.20
ReadySteadyGo_LCEVC_AVC_SW2-2250_QP27_2025-07-14_09-54-56.lvc,2250,27,6144115,4263862,1880253,30.6025%,35.88,4915.29
ReadySteadyGo_LCEVC_AVC_SW2-2250_QP35_2025-07-14_09-55-52.lvc,2250,35,7802947,1470893,6332054,81.1495%,34.25,6242.36
ReadySteadyGo_LCEVC_AVC_SW2-2250_QP37_2025-07-14_09-56-42.lvc,2250,37,9032719,1144112,7888607,87.3337%,33.96,7226.18
ReadySteadyGo_LCEVC_AVC_SW2-2750_QP30_2025-07-14_09-57-01.lvc,2750,30,3801448,2850680,950768,25.0107%,34.08,3041.16
ReadySteadyGo_LCEVC_AVC_SW2-2750_QP32_2025-07-14_09-57-17.lvc,2750,32,3638902,2169314,1469588,40.3855%,33.43,2911.12
ReadySteadyGo_LCEVC_AVC_SW2-2750_QP27_2025-07-14_09-58-31.lvc,2750,27,4729243,4263862,465381,9.8405%,35.14,3783.39
ReadySteadyGo_LCEVC_AVC_SW2-1750_QP25_2025-07-14_09-57-52.lvc,1750,25,15358803,5569969,9788834,63.7344%,38.09,12287.04
ReadySteadyGo_LCEVC_AVC_SW2-2750_QP35_2025-07-14_09-59-28.lvc,2750,35,4035202,1470893,2564309,63.5485%,32.66,3228.16
ReadySteadyGo_LCEVC_AVC_SW2-2750_QP37_2025-07-14_10-00-18.lvc,2750,37,4694270,1144112,3550158,75.6275%,32.28,3755.42
ReadySteadyGo_LCEVC_AVC_SW2-3250_QP30_2025-07-14_10-00-33.lvc,3250,30,3098036,2850680,247356,7.9843%,33.71,2478.43
ReadySteadyGo_LCEVC_AVC_SW2-3250_QP32_2025-07-14_10-00-50.lvc,3250,32,2622019,2169314,452705,17.2655%,32.88,2097.62
ReadySteadyGo_LCEVC_AVC_SW2-1750_QP22_2025-07-14_10-01-03.lvc,1750,22,15261427,8419341,6842086,44.8325%,38.54,12209.14
ReadySteadyGo_LCEVC_AVC_SW2-3250_QP27_2025-07-14_10-02-07.lvc,3250,27,4365045,4263862,101183,2.3180%,34.87,3492.04
ReadySteadyGo_LCEVC_AVC_SW2-3250_QP35_2025-07-14_10-03-04.lvc,3250,35,2385976,1470893,915083,38.3526%,31.72,1908.78
ReadySteadyGo_LCEVC_AVC_SW2-2250_QP25_2025-07-14_10-02-37.lvc,2250,25,8075266,5569969,2505297,31.0243%,36.47,6460.21
ReadySteadyGo_LCEVC_AVC_SW2-3250_QP37_2025-07-14_10-03-54.lvc,3250,37,2528543,1144112,1384431,54.7521%,31.08,2022.83
ReadySteadyGo_LCEVC_AVC_SW2-2250_QP22_2025-07-14_10-05-43.lvc,2250,22,9967074,8419341,1547733,15.5285%,37.31,7973.66
ReadySteadyGo_LCEVC_AVC_SW2-2750_QP25_2025-07-14_10-07-14.lvc,2750,25,6072959,5569969,502990,8.2825%,35.82,4858.37
ReadySteadyGo_LCEVC_AVC_SW2-2750_QP22_2025-07-14_10-10-13.lvc,2750,22,8749555,8419341,330214,3.7741%,36.75,6999.64
ReadySteadyGo_LCEVC_AVC_SW2-3250_QP25_2025-07-14_10-11-42.lvc,3250,25,5677587,5569969,107618,1.8955%,35.54,4542.07
ReadySteadyGo_LCEVC_AVC_SW2-3250_QP22_2025-07-14_10-14-41.lvc,3250,22,8512599,8419341,93258,1.0955%,36.44,6810.08
