file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,psnr_avg,bitrate_kbps
SOCCER_LCEVC_AVC_SW2-750_QP22_2025-07-11_12-14-14.lvc,750,22,6469929,424992,6044937,93.4313%,44.65,5175.94
SOCCER_LCEVC_AVC_SW2-1250_QP22_2025-07-11_12-14-23.lvc,1250,22,2773548,424992,2348556,84.6770%,40.36,2218.84
SOCCER_LCEVC_AVC_SW2-1750_QP22_2025-07-11_12-14-31.lvc,1750,22,1179402,424992,754410,63.9655%,37.52,943.52
SOCCER_LCEVC_AVC_SW2-2250_QP22_2025-07-11_12-14-38.lvc,2250,22,653747,424992,228755,34.9914%,35.92,523.00
SOCCER_LCEVC_AVC_SW2-2750_QP22_2025-07-11_12-14-46.lvc,2750,22,501402,424992,76410,15.2393%,35.00,401.12
SOCCER_LCEVC_AVC_SW2-3250_QP22_2025-07-11_12-14-53.lvc,3250,22,457621,424992,32629,7.1301%,34.37,366.10
SOCCER_AVC-Only_QP37.264,0,37,151937,0,0,0%,33.41,121.55
SOCCER_AVC-Only_QP35.264,0,35,193717,0,0,0%,34.34,154.97
SOCCER_LCEVC_AVC_SW2-250_QP37_2025-07-11_12-15-36.lvc,250,37,13145787,57386,13088401,99.5635%,39.33,10516.63
SOCCER_LCEVC_AVC_SW2-250_QP35_2025-07-11_12-15-38.lvc,250,35,13044645,72363,12972282,99.4453%,40.28,10435.72
SOCCER_AVC-Only_QP32.264,0,32,291647,0,0,0%,35.78,233.32
SOCCER_LCEVC_AVC_SW2-250_QP32_2025-07-11_12-15-41.lvc,250,32,12882972,105732,12777240,99.1793%,41.16,10306.38
SOCCER_AVC-Only_QP30.264,0,30,391447,0,0,0%,36.81,313.16
SOCCER_LCEVC_AVC_SW2-250_QP30_2025-07-11_12-15-43.lvc,250,30,12767801,138891,12628910,98.9122%,41.83,10214.24
SOCCER_LCEVC_AVC_SW2-750_QP37_2025-07-11_12-15-44.lvc,750,37,6141784,57386,6084398,99.0656%,39.19,4913.43
SOCCER_LCEVC_AVC_SW2-750_QP35_2025-07-11_12-15-46.lvc,750,35,6034920,72363,5962557,98.8009%,40.02,4827.94
SOCCER_LCEVC_AVC_SW2-250_QP27_2025-07-11_12-15-47.lvc,250,27,12578843,211837,12367006,98.3159%,42.67,10063.07
SOCCER_AVC-Only_QP27.264,0,27,597231,0,0,0%,38.60,477.78
SOCCER_LCEVC_AVC_SW2-750_QP32_2025-07-11_12-15-49.lvc,750,32,5865796,105732,5760064,98.1975%,40.85,4692.64
SOCCER_LCEVC_AVC_SW2-1250_QP37_2025-07-11_12-15-51.lvc,1250,37,3012916,57386,2955530,98.0953%,37.62,2410.33
SOCCER_LCEVC_AVC_SW2-750_QP30_2025-07-11_12-15-51.lvc,750,30,5744375,138891,5605484,97.5821%,41.34,4595.50
SOCCER_AVC-Only_QP25.264,0,25,780089,0,0,0%,39.90,624.07
SOCCER_LCEVC_AVC_SW2-1250_QP35_2025-07-11_12-15-53.lvc,1250,35,2915195,72363,2842832,97.5177%,38.16,2332.16
