file, sw2, lvc_size, base_size, enhance_size, enhancement_ratio,psnr_avg
SOCCER_LCEVC_AVC_SW2-4_QP22_2025-06-28_14-27-12.lvc, 4, 34148699,424992,33723707,98.7555%,49.65
SOCCER_LCEVC_AVC_SW2-100_QP22_2025-06-28_14-27-25.lvc, 100, 26296289,424992,25871297,98.3838%,43.38
SOCCER_LCEVC_AVC_SW2-200_QP22_2025-06-28_14-27-37.lvc, 200, 20015902,424992,19590910,97.8767%,46.00
SOCCER_LCEVC_AVC_SW2-300_QP22_2025-06-28_14-27-48.lvc, 300, 15226881,424992,14801889,97.2089%,46.87
SOCCER_LCEVC_AVC_SW2-400_QP22_2025-06-28_14-27-58.lvc, 400, 12419660,424992,11994668,96.5781%,46.76
SOCCER_LCEVC_AVC_SW2-500_QP22_2025-06-28_14-28-08.lvc, 500, 10269532,424992,9844540,95.8616%,46.26
SOCCER_LCEVC_AVC_SW2-600_QP22_2025-06-28_14-28-17.lvc, 600, 8515447,424992,8090455,95.0092%,45.58
SOCCER_LCEVC_AVC_SW2-700_QP22_2025-06-28_14-28-26.lvc, 700, 7052944,424992,6627952,93.9743%,45.06
SOCCER_LCEVC_AVC_SW2-800_QP22_2025-06-28_14-28-34.lvc, 800, 5907332,424992,5482340,92.8057%,44.25
SOCCER_LCEVC_AVC_SW2-900_QP22_2025-06-28_14-28-43.lvc, 900, 4938178,424992,4513186,91.3937%,43.30
SOCCER_LCEVC_AVC_SW2-1000_QP22_2025-06-28_14-28-51.lvc, 1000, 4144210,424992,3719218,89.7449%,42.40
SOCCER_LCEVC_AVC_SW2-1100_QP22_2025-06-28_14-28-59.lvc, 1100, 3510927,424992,3085935,87.8952%,41.59
SOCCER_LCEVC_AVC_SW2-1200_QP22_2025-06-28_14-29-07.lvc, 1200, 3000841,424992,2575849,85.8376%,40.70
SOCCER_LCEVC_AVC_SW2-1300_QP22_2025-06-28_14-29-15.lvc, 1300, 2571479,424992,2146487,83.4729%,39.98
SOCCER_LCEVC_AVC_SW2-1400_QP22_2025-06-28_14-29-22.lvc, 1400, 2207990,424992,1782998,80.7521%,39.34
SOCCER_LCEVC_AVC_SW2-1500_QP22_2025-06-28_14-29-30.lvc, 1500, 1703922,424992,1278930,75.0580%,38.80
SOCCER_LCEVC_AVC_SW2-1600_QP22_2025-06-28_14-29-37.lvc, 1600, 1470006,424992,1045014,71.0891%,38.25
SOCCER_LCEVC_AVC_SW2-1700_QP22_2025-06-28_14-29-45.lvc, 1700, 1261859,424992,836867,66.3202%,37.75
SOCCER_LCEVC_AVC_SW2-1800_QP22_2025-06-28_14-29-52.lvc, 1800, 1098402,424992,673410,61.3082%,37.31
SOCCER_LCEVC_AVC_SW2-1900_QP22_2025-06-28_14-29-59.lvc, 1900, 956370,424992,531378,55.5620%,36.93
SOCCER_LCEVC_AVC_SW2-2000_QP22_2025-06-28_14-30-07.lvc, 2000, 846100,424992,421108,49.7705%,36.61
SOCCER_LCEVC_AVC_SW2-2100_QP22_2025-06-28_14-30-14.lvc, 2100, 757141,424992,332149,43.8688%,36.29
SOCCER_LCEVC_AVC_SW2-2200_QP22_2025-06-28_14-30-21.lvc, 2200, 682174,424992,257182,37.7004%,36.03
SOCCER_LCEVC_AVC_SW2-2300_QP22_2025-06-28_14-30-28.lvc, 2300, 629717,424992,204725,32.5106%,35.80
SOCCER_LCEVC_AVC_SW2-2400_QP22_2025-06-28_14-30-35.lvc, 2400, 587946,424992,162954,27.7158%,35.59
SOCCER_LCEVC_AVC_SW2-2500_QP22_2025-06-28_14-30-42.lvc, 2500, 556353,424992,131361,23.6111%,35.43
SOCCER_LCEVC_AVC_SW2-2600_QP22_2025-06-28_14-30-50.lvc, 2600, 530243,424992,105251,19.8496%,35.24
SOCCER_LCEVC_AVC_SW2-2700_QP22_2025-06-28_14-30-57.lvc, 2700, 508927,424992,83935,16.4925%,35.07
SOCCER_LCEVC_AVC_SW2-2800_QP22_2025-06-28_14-31-04.lvc, 2800, 494132,424992,69140,13.9922%,34.94
SOCCER_LCEVC_AVC_SW2-2900_QP22_2025-06-28_14-31-11.lvc, 2900, 482428,424992,57436,11.9056%,34.77
SOCCER_LCEVC_AVC_SW2-3000_QP22_2025-06-28_14-31-18.lvc, 3000, 472708,424992,47716,10.0942%,34.63
SOCCER_LCEVC_AVC_SW2-3100_QP22_2025-06-28_14-31-25.lvc, 3100, 465524,424992,40532,8.7067%,34.53
SOCCER_LCEVC_AVC_SW2-3200_QP22_2025-06-28_14-31-32.lvc, 3200, 459904,424992,34912,7.5911%,34.43
SOCCER_LCEVC_AVC_SW2-3300_QP22_2025-06-28_14-31-39.lvc, 3300, 455659,424992,30667,6.7303%,34.34
SOCCER_LCEVC_AVC_SW2-3400_QP22_2025-06-28_14-31-46.lvc, 3400, 451829,424992,26837,5.9396%,34.24
SOCCER_LCEVC_AVC_SW2-3500_QP22_2025-06-28_14-31-54.lvc, 3500, 449093,424992,24101,5.3666%,34.14
SOCCER_LCEVC_AVC_SW2-3600_QP22_2025-06-28_14-32-01.lvc, 3600, 447097,424992,22105,4.9441%,34.04
SOCCER_LCEVC_AVC_SW2-3700_QP22_2025-06-28_14-32-08.lvc, 3700, 445170,424992,20178,4.5327%,33.94
