file, sw2, lvc_size, base_size, enhance_size, enhancement_ratio,psnr_avg
SOCCER_LCEVC_VVC_SW2-4_QP24_2025-06-28_16-15-54.lvc, 4, 4126543,241037,3885506,94.1589%,42.40
SOCCER_LCEVC_VVC_SW2-100_QP24_2025-06-28_16-16-03.lvc, 100, 4399892,241037,4158855,94.5218%,42.71
SOCCER_LCEVC_VVC_SW2-200_QP24_2025-06-28_16-16-12.lvc, 200, 4587863,241037,4346826,94.7462%,42.79
SOCCER_LCEVC_VVC_SW2-300_QP24_2025-06-28_16-16-21.lvc, 300, 4620510,241037,4379473,94.7833%,42.83
SOCCER_LCEVC_VVC_SW2-400_QP24_2025-06-28_16-16-30.lvc, 400, 4517885,241037,4276848,94.6648%,42.80
SOCCER_LCEVC_VVC_SW2-500_QP24_2025-06-28_16-16-39.lvc, 500, 4292202,241037,4051165,94.3843%,42.60
SOCCER_LCEVC_VVC_SW2-600_QP24_2025-06-28_16-16-48.lvc, 600, 4008961,241037,3767924,93.9875%,42.25
SOCCER_LCEVC_VVC_SW2-700_QP24_2025-06-28_16-16-57.lvc, 700, 3643911,241037,3402874,93.3852%,41.79
SOCCER_LCEVC_VVC_SW2-800_QP24_2025-06-28_16-17-05.lvc, 800, 3252846,241037,3011809,92.5900%,41.32
SOCCER_LCEVC_VVC_SW2-900_QP24_2025-06-28_16-17-14.lvc, 900, 2854685,241037,2613648,91.5564%,40.70
SOCCER_LCEVC_VVC_SW2-1000_QP24_2025-06-28_16-17-23.lvc, 1000, 2495627,241037,2254590,90.3416%,40.07
SOCCER_LCEVC_VVC_SW2-1100_QP24_2025-06-28_16-17-31.lvc, 1100, 2147338,241037,1906301,88.7751%,39.44
SOCCER_LCEVC_VVC_SW2-1200_QP24_2025-06-28_16-17-39.lvc, 1200, 1610746,241037,1369709,85.0357%,38.88
SOCCER_LCEVC_VVC_SW2-1300_QP24_2025-06-28_16-17-48.lvc, 1300, 1351644,241037,1110607,82.1671%,38.26
SOCCER_LCEVC_VVC_SW2-1400_QP24_2025-06-28_16-17-56.lvc, 1400, 1130960,241037,889923,78.6874%,37.75
