file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,psnr_avg,bitrate_kbps
SOCCER-Resample,0,0,45619200,0,0,0%,34.04,0.0
SOCCER_LCEVC_VVC_SW2-1250_QP27_2025-07-16_18-25-18.lvc,1250,27,1310843,158427,1152416,87.9141%,37.98,1048.67
SOCCER_LCEVC_VVC_SW2-1250_QP30_2025-07-16_18-25-18.lvc,1250,30,1412758,107744,1305014,92.3735%,37.58,1130.21
SOCCER_LCEVC_VVC_SW2-1250_QP32_2025-07-16_18-25-19.lvc,1250,32,1490868,81089,1409779,94.5610%,37.47,1192.69
SOCCER_LCEVC_VVC_SW2-1250_QP35_2025-07-16_18-25-19.lvc,1250,35,1592715,56246,1536469,96.4685%,36.99,1274.17
SOCCER_LCEVC_VVC_SW2-1250_QP37_2025-07-16_18-25-20.lvc,1250,37,1655698,43946,1611752,97.3458%,36.34,1324.56
SOCCER_LCEVC_VVC_SW2-1250_QP22_2025-07-16_18-25-20.lvc,1250,22,1431023,316446,1114577,77.8867%,38.76,1144.82
SOCCER_LCEVC_VVC_SW2-1250_QP25_2025-07-16_18-25-21.lvc,1250,25,1497613,215608,1282005,85.6032%,38.54,1198.09
SOCCER_LCEVC_VVC_SW2-1750_QP27_2025-07-16_18-25-25.lvc,1750,27,542454,158427,384027,70.7944%,35.57,433.96
SOCCER_LCEVC_VVC_SW2-1750_QP30_2025-07-16_18-25-25.lvc,1750,30,578481,107744,470737,81.3747%,35.18,462.78
SOCCER_LCEVC_VVC_SW2-1750_QP32_2025-07-16_18-25-25.lvc,1750,32,621725,81089,540636,86.9574%,35.08,497.38
SOCCER_LCEVC_VVC_SW2-1750_QP35_2025-07-16_18-25-26.lvc,1750,35,685648,56246,629402,91.7967%,34.66,548.52
SOCCER_LCEVC_VVC_SW2-1750_QP37_2025-07-16_18-25-26.lvc,1750,37,734121,43946,690175,94.0138%,34.27,587.30
SOCCER_LCEVC_VVC_SW2-1750_QP25_2025-07-16_18-25-29.lvc,1750,25,600876,215608,385268,64.1177%,35.90,480.70
SOCCER_LCEVC_VVC_SW2-1750_QP22_2025-07-16_18-25-29.lvc,1750,22,629689,316446,313243,49.7457%,36.26,503.75
SOCCER_LCEVC_VVC_SW2-2250_QP30_2025-07-16_18-25-32.lvc,2250,30,237866,107744,130122,54.7039%,33.25,190.29
