file, sw2, lvc_size, base_size, enhance_size, enhancement_ratio,psnr_avg
Bosphorus_LCEVC_VVC_SW2-5000_QP20_2025-06-24_02-05-32.lvc, 5000, 3133087,3102897,30190,0.9636%,41.84
Bosphorus_LCEVC_VVC_SW2-4900_QP20_2025-06-24_02-09-58.lvc, 4900, 3133087,3102897,30190,0.9636%,41.84
Bosphorus_LCEVC_VVC_SW2-4800_QP20_2025-06-24_02-14-24.lvc, 4800, 3133087,3102897,30190,0.9636%,41.84
Bosphorus_LCEVC_VVC_SW2-4700_QP20_2025-06-24_02-18-52.lvc, 4700, 3133087,3102897,30190,0.9636%,41.84
Bosphorus_LCEVC_VVC_SW2-4600_QP20_2025-06-24_02-23-20.lvc, 4600, 3133087,3102897,30190,0.9636%,41.84
Bosphorus_LCEVC_VVC_SW2-4500_QP20_2025-06-24_02-27-48.lvc, 4500, 3133087,3102897,30190,0.9636%,41.84
Bosphorus_LCEVC_VVC_SW2-4400_QP20_2025-06-24_02-32-15.lvc, 4400, 3133087,3102897,30190,0.9636%,41.84
Bosphorus_LCEVC_VVC_SW2-4300_QP20_2025-06-24_02-36-43.lvc, 4300, 3133087,3102897,30190,0.9636%,41.84
Bosphorus_LCEVC_VVC_SW2-4200_QP20_2025-06-24_02-41-11.lvc, 4200, 3133087,3102897,30190,0.9636%,41.84
Bosphorus_LCEVC_VVC_SW2-4100_QP20_2025-06-24_02-45-50.lvc, 4100, 3133087,3102897,30190,0.9636%,41.84
Bosphorus_LCEVC_VVC_SW2-4000_QP20_2025-06-24_02-50-18.lvc, 4000, 3133087,3102897,30190,0.9636%,41.84
Bosphorus_LCEVC_VVC_SW2-3900_QP20_2025-06-24_02-54-46.lvc, 3900, 3133087,3102897,30190,0.9636%,41.84
Bosphorus_LCEVC_VVC_SW2-3800_QP20_2025-06-24_02-59-24.lvc, 3800, 3133087,3102897,30190,0.9636%,41.84
Bosphorus_LCEVC_VVC_SW2-3700_QP20_2025-06-24_03-03-52.lvc, 3700, 3133087,3102897,30190,0.9636%,41.84
Bosphorus_LCEVC_VVC_SW2-3600_QP20_2025-06-24_03-08-20.lvc, 3600, 3133087,3102897,30190,0.9636%,41.84
Bosphorus_LCEVC_VVC_SW2-3500_QP20_2025-06-24_03-12-48.lvc, 3500, 3133087,3102897,30190,0.9636%,41.84
Bosphorus_LCEVC_VVC_SW2-3400_QP20_2025-06-24_03-17-16.lvc, 3400, 3133115,3102897,30218,0.9645%,41.84
Bosphorus_LCEVC_VVC_SW2-3300_QP20_2025-06-24_03-21-43.lvc, 3300, 3133190,3102897,30293,0.9668%,41.84
Bosphorus_LCEVC_VVC_SW2-3200_QP20_2025-06-24_03-26-10.lvc, 3200, 3133234,3102897,30337,0.9682%,41.84
Bosphorus_LCEVC_VVC_SW2-3100_QP20_2025-06-24_03-30-39.lvc, 3100, 3133390,3102897,30493,0.9732%,41.84
Bosphorus_LCEVC_VVC_SW2-3000_QP20_2025-06-24_03-35-08.lvc, 3000, 3133680,3102897,30783,0.9823%,41.84
Bosphorus_LCEVC_VVC_SW2-2900_QP20_2025-06-24_03-39-35.lvc, 2900, 3134154,3102897,31257,0.9973%,41.84
Bosphorus_LCEVC_VVC_SW2-2800_QP20_2025-06-24_03-44-03.lvc, 2800, 3135265,3102897,32368,1.0324%,41.84
Bosphorus_LCEVC_VVC_SW2-2700_QP20_2025-06-24_03-48-30.lvc, 2700, 3137157,3102897,34260,1.0921%,41.84
Bosphorus_LCEVC_VVC_SW2-2600_QP20_2025-06-24_03-52-57.lvc, 2600, 3140412,3102897,37515,1.1946%,41.84
Bosphorus_LCEVC_VVC_SW2-2500_QP20_2025-06-24_03-57-26.lvc, 2500, 3146130,3102897,43233,1.3742%,41.84
Bosphorus_LCEVC_VVC_SW2-2400_QP20_2025-06-24_04-01-55.lvc, 2400, 3155991,3102897,53094,1.6823%,41.85
Bosphorus_LCEVC_VVC_SW2-2300_QP20_2025-06-24_04-06-23.lvc, 2300, 3170230,3102897,67333,2.1239%,41.86
Bosphorus_LCEVC_VVC_SW2-2200_QP20_2025-06-24_04-10-44.lvc, 2200, 3194435,3102897,91538,2.8655%,41.87
Bosphorus_LCEVC_VVC_SW2-2100_QP20_2025-06-24_04-15-11.lvc, 2100, 3235230,3102897,132333,4.0904%,41.89
Bosphorus_LCEVC_VVC_SW2-2000_QP20_2025-06-24_04-19-38.lvc, 2000, 3299688,3102897,196791,5.9639%,41.92
Bosphorus_LCEVC_VVC_SW2-1900_QP20_2025-06-24_04-24-06.lvc, 1900, 3405133,3102897,302236,8.8759%,41.97
Bosphorus_LCEVC_VVC_SW2-1800_QP20_2025-06-24_04-28-33.lvc, 1800, 3568069,3102897,465172,13.0371%,42.04
Bosphorus_LCEVC_VVC_SW2-1700_QP20_2025-06-24_04-32-59.lvc, 1700, 3825325,3102897,722428,18.8854%,42.15
Bosphorus_LCEVC_VVC_SW2-1600_QP20_2025-06-24_04-37-26.lvc, 1600, 4174865,3102897,1071968,25.6767%,42.27
