file,SW2,lvc_size,base_size,enhance_size,enhancement_ratio,psnr_avg
Bosphorus_LCEVC_AVC_SW2-5000_QP20_2025-06-17_11-26-19.lvc,5000,172624,171755,869,0%,41.90
Bosphorus_LCEVC_AVC_SW2-4900_QP20_2025-06-17_11-27-28.lvc,4900,172624,171755,869,0%,41.90
Bosphorus_LCEVC_AVC_SW2-4800_QP20_2025-06-17_11-28-35.lvc,4800,172624,171755,869,0%,41.90
Bosphorus_LCEVC_AVC_SW2-4700_QP20_2025-06-17_11-29-44.lvc,4700,172624,171755,869,0%,41.90
Bosphorus_LCEVC_AVC_SW2-4600_QP20_2025-06-17_11-30-53.lvc,4600,172624,171755,869,0%,41.90
Bosphorus_LCEVC_AVC_SW2-4500_QP20_2025-06-17_11-32-02.lvc,4500,172624,171755,869,0%,41.90
Bosphorus_LCEVC_AVC_SW2-4400_QP20_2025-06-17_11-33-11.lvc,4400,172624,171755,869,0%,41.90
Bosphorus_LCEVC_AVC_SW2-4300_QP20_2025-06-17_11-34-20.lvc,4300,172638,171755,883,0%,41.90
Bosphorus_LCEVC_AVC_SW2-4200_QP20_2025-06-17_11-35-29.lvc,4200,172638,171755,883,0%,41.90
Bosphorus_LCEVC_AVC_SW2-4100_QP20_2025-06-17_11-36-39.lvc,4100,172639,171755,884,0%,41.90
Bosphorus_LCEVC_AVC_SW2-4000_QP20_2025-06-17_11-37-48.lvc,4000,172670,171755,915,0%,41.90
Bosphorus_LCEVC_AVC_SW2-3900_QP20_2025-06-17_11-38-55.lvc,3900,172683,171755,928,0%,41.90
Bosphorus_LCEVC_AVC_SW2-3800_QP20_2025-06-17_11-40-04.lvc,3800,172709,171755,954,0%,41.90
Bosphorus_LCEVC_AVC_SW2-3700_QP20_2025-06-17_11-41-14.lvc,3700,172704,171755,949,0%,41.90
Bosphorus_LCEVC_AVC_SW2-3600_QP20_2025-06-17_11-42-23.lvc,3600,172720,171755,965,0%,41.90
Bosphorus_LCEVC_AVC_SW2-3500_QP20_2025-06-17_11-43-32.lvc,3500,172754,171755,999,0%,41.90
Bosphorus_LCEVC_AVC_SW2-3400_QP20_2025-06-17_11-44-41.lvc,3400,172801,171755,1046,0%,41.90
Bosphorus_LCEVC_AVC_SW2-3300_QP20_2025-06-17_11-45-50.lvc,3300,172902,171755,1147,0%,41.90
Bosphorus_LCEVC_AVC_SW2-3200_QP20_2025-06-17_11-46-59.lvc,3200,173055,171755,1300,0%,41.90
Bosphorus_LCEVC_AVC_SW2-3100_QP20_2025-06-17_11-48-09.lvc,3100,173244,171755,1489,0%,41.90
Bosphorus_LCEVC_AVC_SW2-3000_QP20_2025-06-17_11-49-18.lvc,3000,173552,171755,1797,1.00%,41.90
Bosphorus_LCEVC_AVC_SW2-2900_QP20_2025-06-17_11-50-27.lvc,2900,173967,171755,2212,1.00%,41.91
Bosphorus_LCEVC_AVC_SW2-2800_QP20_2025-06-17_11-51-36.lvc,2800,174605,171755,2850,1.00%,41.91
Bosphorus_LCEVC_AVC_SW2-2700_QP20_2025-06-17_11-52-46.lvc,2700,175402,171755,3647,2.00%,41.91
Bosphorus_LCEVC_AVC_SW2-2600_QP20_2025-06-17_11-53-55.lvc,2600,176528,171755,4773,2.00%,41.91
Bosphorus_LCEVC_AVC_SW2-2500_QP20_2025-06-17_11-55-04.lvc,2500,178161,171755,6406,3.00%,41.92
Bosphorus_LCEVC_AVC_SW2-2400_QP20_2025-06-17_11-56-13.lvc,2400,180454,171755,8699,4.00%,41.92
Bosphorus_LCEVC_AVC_SW2-2300_QP20_2025-06-17_11-57-23.lvc,2300,183557,171755,11802,6.00%,41.93
Bosphorus_LCEVC_AVC_SW2-2200_QP20_2025-06-17_11-58-32.lvc,2200,188824,171755,17069,9.00%,41.94
Bosphorus_LCEVC_AVC_SW2-2100_QP20_2025-06-17_11-59-41.lvc,2100,196489,171755,24734,12.00%,41.95
Bosphorus_LCEVC_AVC_SW2-2000_QP20_2025-06-17_12-00-50.lvc,2000,206987,171755,35232,17.00%,41.96
Bosphorus_LCEVC_AVC_SW2-1900_QP20_2025-06-17_12-01-59.lvc,1900,221465,171755,49710,22.00%,41.97
Bosphorus_LCEVC_AVC_SW2-1800_QP20_2025-06-17_12-03-09.lvc,1800,243011,171755,71256,29.00%,41.99
