file,SW2,lvc_size,base_size,enhance_size,enhancement_ratio,psnr_avg
Bosphorus_LCEVC_AVC_SW2-4500_QP24_2025-06-17_12-08-31.lvc,4500,93065,92196,869,0%,40.31
Bosphorus_LCEVC_AVC_SW2-4400_QP24_2025-06-17_12-09-43.lvc,4400,93065,92196,869,0%,40.31
Bosphorus_LCEVC_AVC_SW2-4300_QP24_2025-06-17_12-10-54.lvc,4300,93079,92196,883,0%,40.31
Bosphorus_LCEVC_AVC_SW2-4200_QP24_2025-06-17_12-12-05.lvc,4200,93079,92196,883,0%,40.31
Bosphorus_LCEVC_AVC_SW2-4100_QP24_2025-06-17_12-13-17.lvc,4100,93095,92196,899,0%,40.31
Bosphorus_LCEVC_AVC_SW2-4000_QP24_2025-06-17_12-14-29.lvc,4000,93124,92196,928,0%,40.31
Bosphorus_LCEVC_AVC_SW2-3900_QP24_2025-06-17_12-15-38.lvc,3900,93139,92196,943,1.00%,40.31
Bosphorus_LCEVC_AVC_SW2-3800_QP24_2025-06-17_12-16-50.lvc,3800,93139,92196,943,1.00%,40.31
Bosphorus_LCEVC_AVC_SW2-3700_QP24_2025-06-17_12-18-01.lvc,3700,93145,92196,949,1.00%,40.31
Bosphorus_LCEVC_AVC_SW2-3600_QP24_2025-06-17_12-19-13.lvc,3600,93202,92196,1006,1.00%,40.31
Bosphorus_LCEVC_AVC_SW2-3500_QP24_2025-06-17_12-20-24.lvc,3500,93228,92196,1032,1.00%,40.31
Bosphorus_LCEVC_AVC_SW2-3400_QP24_2025-06-17_12-21-36.lvc,3400,93282,92196,1086,1.00%,40.31
Bosphorus_LCEVC_AVC_SW2-3300_QP24_2025-06-17_12-22-48.lvc,3300,93442,92196,1246,1.00%,40.31
Bosphorus_LCEVC_AVC_SW2-3200_QP24_2025-06-17_12-23-57.lvc,3200,93654,92196,1458,1.00%,40.31
Bosphorus_LCEVC_AVC_SW2-3100_QP24_2025-06-17_12-25-09.lvc,3100,94014,92196,1818,1.00%,40.31
Bosphorus_LCEVC_AVC_SW2-3000_QP24_2025-06-17_12-26-20.lvc,3000,94522,92196,2326,2.00%,40.31
Bosphorus_LCEVC_AVC_SW2-2900_QP24_2025-06-17_12-27-32.lvc,2900,95343,92196,3147,3.00%,40.31
Bosphorus_LCEVC_AVC_SW2-2800_QP24_2025-06-17_12-28-43.lvc,2800,96493,92196,4297,4.00%,40.31
Bosphorus_LCEVC_AVC_SW2-2700_QP24_2025-06-17_12-29-55.lvc,2700,98602,92196,6406,6.00%,40.32
Bosphorus_LCEVC_AVC_SW2-2600_QP24_2025-06-17_12-31-06.lvc,2600,101569,92196,9373,9.00%,40.32
Bosphorus_LCEVC_AVC_SW2-2500_QP24_2025-06-17_12-32-18.lvc,2500,105754,92196,13558,12.00%,40.32
Bosphorus_LCEVC_AVC_SW2-2400_QP24_2025-06-17_12-33-29.lvc,2400,111653,92196,19457,17.00%,40.33
Bosphorus_LCEVC_AVC_SW2-2300_QP24_2025-06-17_12-34-41.lvc,2300,119208,92196,27012,22.00%,40.33
Bosphorus_LCEVC_AVC_SW2-2200_QP24_2025-06-17_12-35-52.lvc,2200,129555,92196,37359,28.00%,40.34
