file,SW2,lvc_size,base_size,enhance_size,enhancement_ratio,psnr_avg
Bosphorus_LCEVC_AVC_SW2-4500_QP22_2025-06-17_12-53-33.lvc,4500,127130,126261,869,0%,41.10
Bosphorus_LCEVC_AVC_SW2-4250_QP22_2025-06-17_12-54-39.lvc,4250,127144,126261,883,0%,41.10
Bosphorus_LCEVC_AVC_SW2-4000_QP22_2025-06-17_12-55-45.lvc,4000,127191,126261,930,0%,41.10
Bosphorus_LCEVC_AVC_SW2-3750_QP22_2025-06-17_12-56-51.lvc,3750,127208,126261,947,0%,41.10
Bosphorus_LCEVC_AVC_SW2-3500_QP22_2025-06-17_12-57-58.lvc,3500,127268,126261,1007,0%,41.10
Bosphorus_LCEVC_AVC_SW2-3250_QP22_2025-06-17_12-59-04.lvc,3250,127511,126261,1250,0%,41.11
Bosphorus_LCEVC_AVC_SW2-3000_QP22_2025-06-17_13-00-11.lvc,3000,128202,126261,1941,1.00%,41.11
Bosphorus_LCEVC_AVC_SW2-2750_QP22_2025-06-17_13-01-17.lvc,2750,130002,126261,3741,2.00%,41.11
Bosphorus_LCEVC_AVC_SW2-2500_QP22_2025-06-17_13-02-24.lvc,2500,134716,126261,8455,6.00%,41.12
Bosphorus_LCEVC_AVC_SW2-2250_QP22_2025-06-17_13-03-30.lvc,2250,146893,126261,20632,14.00%,41.13
Bosphorus_LCEVC_AVC_SW2-2000_QP22_2025-06-17_13-04-37.lvc,2000,175806,126261,49545,28.00%,41.16
Bosphorus_LCEVC_AVC_SW2-1750_QP22_2025-06-17_13-05-43.lvc,1750,237924,126261,111663,46.00%,41.22
Bosphorus_LCEVC_AVC_SW2-1500_QP22_2025-06-17_13-06-50.lvc,1500,353391,126261,227130,64.00%,41.36
Bosphorus_LCEVC_AVC_SW2-1250_QP22_2025-06-17_13-07-57.lvc,1250,588358,126261,462097,78.00%,41.68
Bosphorus_LCEVC_AVC_SW2-1000_QP22_2025-06-17_13-09-03.lvc,1000,988113,126261,861852,87.00%,42.02
Bosphorus_LCEVC_AVC_SW2-750_QP22_2025-06-17_13-10-10.lvc,750,1768457,126261,1642196,92.00%,42.40
Bosphorus_LCEVC_AVC_SW2-500_QP22_2025-06-17_13-11-17.lvc,500,3430766,126261,3304505,96.00%,42.68
Bosphorus_LCEVC_AVC_SW2-250_QP22_2025-06-17_13-12-25.lvc,250,6935705,126261,6809444,98.00%,42.82
Bosphorus_LCEVC_AVC_SW2-0_QP22_2025-06-17_13-13-33.lvc,0,15067346,126261,14941085,99.00%,42.89
