file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,psnr_avg,bitrate_kbps
vc-globo-05_120frames-Resample,0,0,1492992000,0,0,0%,43.88,0
vc-globo-05_120frames_AVC-Only_QP37.264,264,37,1305057,0,0,0%,37.08,5220.23
vc-globo-05_120frames_AVC-Only_QP35.264,264,35,1575423,0,0,0%,38.15,6301.69
vc-globo-05_120frames_AVC-Only_QP32.264,264,32,2158588,0,0,0%,39.68,8634.35
vc-globo-05_120frames_AVC-Only_QP30.264,264,30,2694302,0,0,0%,40.67,10777.21
vc-globo-05_120frames_LCEVC_AVC_SW2-1250_QP30_2025-07-24_02-56-59.lvc,1250,30,14922887,991170,13931717,93.3581%,41.12,59691.55
vc-globo-05_120frames_LCEVC_AVC_SW2-1250_QP27_2025-07-24_02-57-44.lvc,1250,27,12650735,1458495,11192240,88.4711%,41.66,50602.94
vc-globo-05_120frames_AVC-Only_QP27.264,264,27,3828463,0,0,0%,41.93,15313.85
vc-globo-05_120frames_AVC-Only_QP25.264,264,25,4950018,0,0,0%,42.73,19800.07
vc-globo-05_120frames_LCEVC_AVC_SW2-1250_QP32_2025-07-24_02-59-28.lvc,1250,32,16612471,759865,15852606,95.4259%,40.71,66449.88
vc-globo-05_120frames_LCEVC_AVC_SW2-1750_QP30_2025-07-24_02-59-51.lvc,1750,30,6554998,991170,5563828,84.8792%,39.63,26219.99
vc-globo-05_120frames_LCEVC_AVC_SW2-1750_QP27_2025-07-24_03-00-34.lvc,1750,27,5428721,1458495,3970226,73.1337%,40.20,21714.88
vc-globo-05_120frames_LCEVC_AVC_SW2-1250_QP37_2025-07-24_03-00-44.lvc,1250,37,20700819,424522,20276297,97.9493%,39.75,82803.28
vc-globo-05_120frames_LCEVC_AVC_SW2-1250_QP35_2025-07-24_03-00-57.lvc,1250,35,19150572,532493,18618079,97.2194%,40.14,76602.29
vc-globo-05_120frames_AVC-Only_QP22.264,264,22,7836829,0,0,0%,43.90,31347.32
vc-globo-05_120frames_LCEVC_AVC_SW2-1250_QP25_2025-07-24_03-01-19.lvc,1250,25,14535467,1911737,12623730,86.8478%,42.60,58141.87
vc-globo-05_120frames_LCEVC_AVC_SW2-1750_QP32_2025-07-24_03-02-20.lvc,1750,32,7503729,759865,6743864,89.8735%,39.26,30014.92
vc-globo-05_120frames_LCEVC_AVC_SW2-2250_QP30_2025-07-24_03-02-39.lvc,2250,30,3088047,991170,2096877,67.9030%,38.36,12352.19
vc-globo-05_120frames_LCEVC_AVC_SW2-1250_QP22_2025-07-24_03-02-33.lvc,1250,22,12573960,2932035,9641925,76.6817%,42.93,50295.84
vc-globo-05_120frames_LCEVC_AVC_SW2-2250_QP27_2025-07-24_03-03-23.lvc,2250,27,2625502,1458495,1167007,44.4489%,39.20,10502.01
vc-globo-05_120frames_LCEVC_AVC_SW2-1750_QP37_2025-07-24_03-03-36.lvc,1750,37,10280131,424522,9855609,95.8705%,38.40,41120.52
vc-globo-05_120frames_LCEVC_AVC_SW2-1750_QP35_2025-07-24_03-03-54.lvc,1750,35,9134297,532493,8601804,94.1704%,38.74,36537.19
vc-globo-05_120frames_LCEVC_AVC_SW2-2250_QP32_2025-07-24_03-05-08.lvc,2250,32,3624312,759865,2864447,79.0342%,37.91,14497.25
vc-globo-05_120frames_LCEVC_AVC_SW2-2750_QP30_2025-07-24_03-05-26.lvc,2750,30,1555459,991170,564289,36.2780%,37.61,6221.84
vc-globo-05_120frames_LCEVC_AVC_SW2-1750_QP25_2025-07-24_03-04-53.lvc,1750,25,5651201,1911737,3739464,66.1711%,40.77,22604.80
vc-globo-05_120frames_LCEVC_AVC_SW2-2750_QP27_2025-07-24_03-06-09.lvc,2750,27,1681499,1458495,223004,13.2622%,38.88,6726.00
vc-globo-05_120frames_LCEVC_AVC_SW2-2250_QP37_2025-07-24_03-06-25.lvc,2250,37,5314181,424522,4889659,92.0115%,37.01,21256.72
vc-globo-05_120frames_LCEVC_AVC_SW2-2250_QP35_2025-07-24_03-06-42.lvc,2250,35,4606004,532493,4073511,88.4392%,37.34,18424.02
vc-globo-05_120frames_LCEVC_AVC_SW2-1750_QP22_2025-07-24_03-06-05.lvc,1750,22,5114821,2932035,2182786,42.6757%,41.39,20459.28
vc-globo-05_120frames_LCEVC_AVC_SW2-2750_QP32_2025-07-24_03-07-56.lvc,2750,32,1691954,759865,932089,55.0895%,36.88,6767.82
vc-globo-05_120frames_LCEVC_AVC_SW2-3250_QP30_2025-07-24_03-08-11.lvc,3250,30,1079936,991170,88766,8.2196%,37.45,4319.74
vc-globo-05_120frames_LCEVC_AVC_SW2-3250_QP27_2025-07-24_03-08-54.lvc,3250,27,1480606,1458495,22111,1.4934%,38.85,5922.42
vc-globo-05_120frames_LCEVC_AVC_SW2-2250_QP25_2025-07-24_03-08-22.lvc,2250,25,2729674,1911737,817937,29.9646%,39.88,10918.70
vc-globo-05_120frames_LCEVC_AVC_SW2-2750_QP37_2025-07-24_03-09-11.lvc,2750,37,2655655,424522,2231133,84.0144%,35.57,10622.62
vc-globo-05_120frames_LCEVC_AVC_SW2-2750_QP35_2025-07-24_03-09-41.lvc,2750,35,2195262,532493,1662769,75.7435%,36.00,8781.05
vc-globo-05_120frames_LCEVC_AVC_SW2-2250_QP22_2025-07-24_03-09-41.lvc,2250,22,3256669,2932035,324634,9.9683%,40.96,13026.68
vc-globo-05_120frames_LCEVC_AVC_SW2-3250_QP32_2025-07-24_03-10-42.lvc,3250,32,949831,759865,189966,20.0000%,36.51,3799.32
vc-globo-05_120frames_LCEVC_AVC_SW2-3250_QP37_2025-07-24_03-11-56.lvc,3250,37,1145063,424522,720541,62.9259%,34.37,4580.25
vc-globo-05_120frames_LCEVC_AVC_SW2-3250_QP35_2025-07-24_03-12-25.lvc,3250,35,987672,532493,455179,46.0860%,35.15,3950.69
vc-globo-05_120frames_LCEVC_AVC_SW2-2750_QP25_2025-07-24_03-11-52.lvc,2750,25,2021470,1911737,109733,5.4284%,39.72,8085.88
vc-globo-05_120frames_LCEVC_AVC_SW2-2750_QP22_2025-07-24_03-13-11.lvc,2750,22,2970575,2932035,38540,1.2974%,40.90,11882.30
vc-globo-05_120frames_LCEVC_AVC_SW2-3250_QP25_2025-07-24_03-15-19.lvc,3250,25,1924885,1911737,13148,0.6831%,39.70,7699.54
vc-globo-05_120frames_LCEVC_AVC_SW2-3250_QP22_2025-07-24_03-16-34.lvc,3250,22,2942275,2932035,10240,0.3480%,40.88,11769.10
