file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,psnr_avg,bitrate_kbps
vc-globo-05_120frames-Resample,0,0,1492992000,0,0,0%,43.88,0
vc-globo-05_120frames_LCEVC_VVC_SW2-1250_QP37_2025-07-24_06-36-07.lvc,1250,37,10866334,249668,10616666,97.7024%,39.19,43465.34
vc-globo-05_120frames_LCEVC_VVC_SW2-1750_QP37_2025-07-24_06-38-59.lvc,1750,37,4667417,249668,4417749,94.6508%,37.70,18669.67
vc-globo-05_120frames_LCEVC_VVC_SW2-2250_QP37_2025-07-24_06-41-51.lvc,2250,37,1726047,249668,1476379,85.5353%,36.02,6904.19
vc-globo-05_120frames_LCEVC_VVC_SW2-2750_QP37_2025-07-24_06-44-42.lvc,2750,37,533036,249668,283368,53.1611%,34.48,2132.14
vc-globo-05_120frames_LCEVC_VVC_SW2-3250_QP37_2025-07-24_06-47-31.lvc,3250,37,280715,249668,31047,11.0600%,33.76,1122.86
vc-globo-05_120frames_LCEVC_VVC_SW2-1250_QP35_2025-07-24_07-01-40.lvc,1250,35,9754012,328121,9425891,96.6360%,39.66,39016.05
vc-globo-05_120frames_LCEVC_VVC_SW2-1750_QP35_2025-07-24_07-04-34.lvc,1750,35,4030089,328121,3701968,91.8582%,38.12,16120.36
vc-globo-05_120frames_LCEVC_VVC_SW2-2250_QP35_2025-07-24_07-07-27.lvc,2250,35,1422902,328121,1094781,76.9400%,36.47,5691.61
vc-globo-05_120frames_LCEVC_VVC_SW2-2750_QP35_2025-07-24_07-10-19.lvc,2750,35,500246,328121,172125,34.4081%,35.14,2000.98
vc-globo-05_120frames_LCEVC_VVC_SW2-3250_QP35_2025-07-24_07-13-09.lvc,3250,35,345060,328121,16939,4.9090%,34.62,1380.24
vc-globo-05_120frames_LCEVC_VVC_SW2-1250_QP32_2025-07-24_07-46-08.lvc,1250,32,8180861,488371,7692490,94.0303%,40.26,32723.44
vc-globo-05_120frames_LCEVC_VVC_SW2-1750_QP32_2025-07-24_07-49-01.lvc,1750,32,3196578,488371,2708207,84.7221%,38.70,12786.31
vc-globo-05_120frames_LCEVC_VVC_SW2-2250_QP32_2025-07-24_07-51-53.lvc,2250,32,1123158,488371,634787,56.5180%,37.20,4492.63
vc-globo-05_120frames_LCEVC_VVC_SW2-2750_QP32_2025-07-24_07-54-45.lvc,2750,32,561763,488371,73392,13.0646%,36.29,2247.05
vc-globo-05_120frames_LCEVC_VVC_SW2-3250_QP32_2025-07-24_07-57-37.lvc,3250,32,495040,488371,6669,1.3472%,36.08,1980.16
vc-globo-05_120frames_LCEVC_VVC_SW2-1250_QP30_2025-07-24_08-26-51.lvc,1250,30,7165937,656879,6509058,90.8333%,40.68,28663.75
vc-globo-05_120frames_LCEVC_VVC_SW2-1750_QP30_2025-07-24_08-29-45.lvc,1750,30,2713300,656879,2056421,75.7904%,39.12,10853.20
vc-globo-05_120frames_LCEVC_VVC_SW2-2250_QP30_2025-07-24_08-32-39.lvc,2250,30,1049406,656879,392527,37.4047%,37.81,4197.62
vc-globo-05_120frames_LCEVC_VVC_SW2-2750_QP30_2025-07-24_08-35-32.lvc,2750,30,689863,656879,32984,4.7812%,37.21,2759.45
vc-globo-05_120frames_LCEVC_VVC_SW2-3250_QP30_2025-07-24_08-38-25.lvc,3250,30,660706,656879,3827,0.5792%,37.13,2642.82
vc-globo-05_120frames_LCEVC_VVC_SW2-1250_QP27_2025-07-24_09-26-06.lvc,1250,27,5962763,997143,4965620,83.2772%,41.20,23851.05
