file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,psnr_avg,bitrate_kbps
vc-lcevc-01_120frames_AVC-Only_QP37.264,264,37,398114,0,0,0%,35.52,1592.46
vc-lcevc-01_120frames_AVC-Only_QP35.264,264,35,541605,0,0,0%,36.70,2166.42
vc-lcevc-01_120frames_AVC-Only_QP32.264,264,32,818304,0,0,0%,38.70,3273.22
vc-lcevc-01_120frames_AVC-Only_QP30.264,264,30,1091870,0,0,0%,40.12,4367.48
vc-lcevc-01_120frames_AVC-Only_QP27.264,264,27,1639723,0,0,0%,42.24,6558.89
vc-lcevc-01_120frames_AVC-Only_QP25.264,264,25,2173840,0,0,0%,43.55,8695.36
vc-lcevc-01_120frames_AVC-Only_QP22.264,264,22,3405589,0,0,0%,45.59,13622.36
vc-lcevc-01_120frames_LCEVC_AVC_SW2-1750_QP35_2025-07-24_10-23-12.lvc,1750,35,3552205,137546,3414659,96.1279%,38.99,14208.82
vc-lcevc-01_120frames_LCEVC_AVC_SW2-1750_QP32_2025-07-24_10-23-45.lvc,1750,32,3189583,203546,2986037,93.6184%,39.58,12758.33
vc-lcevc-01_120frames_LCEVC_AVC_SW2-1750_QP30_2025-07-24_10-24-14.lvc,1750,30,3019317,268683,2750634,91.1012%,39.95,12077.27
vc-lcevc-01_120frames_LCEVC_AVC_SW2-1750_QP27_2025-07-24_10-25-25.lvc,1750,27,2504129,397801,2106328,84.1142%,40.52,10016.52
vc-lcevc-01_120frames_LCEVC_AVC_SW2-2250_QP35_2025-07-24_10-25-57.lvc,2250,35,1724667,137546,1587121,92.0248%,37.07,6898.67
vc-lcevc-01_120frames_LCEVC_AVC_SW2-1250_QP25_2025-07-24_10-25-39.lvc,1250,25,6021913,528679,5493234,91.2207%,43.65,24087.65
vc-lcevc-01_120frames_LCEVC_AVC_SW2-2250_QP37_2025-07-24_10-26-23.lvc,2250,37,1900968,107046,1793922,94.3689%,36.71,7603.87
vc-lcevc-01_120frames_LCEVC_AVC_SW2-2250_QP32_2025-07-24_10-26-29.lvc,2250,32,1474570,203546,1271024,86.1962%,37.55,5898.28
vc-lcevc-01_120frames_LCEVC_AVC_SW2-2250_QP30_2025-07-24_10-26-58.lvc,2250,30,1364396,268683,1095713,80.3076%,37.90,5457.58
vc-lcevc-01_120frames_LCEVC_AVC_SW2-1250_QP22_2025-07-24_10-27-25.lvc,1250,22,5549114,836154,4712960,84.9318%,44.07,22196.46
vc-lcevc-01_120frames_LCEVC_AVC_SW2-2250_QP27_2025-07-24_10-28-10.lvc,2250,27,1089046,397801,691245,63.4725%,38.57,4356.18
vc-lcevc-01_120frames_LCEVC_AVC_SW2-2750_QP35_2025-07-24_10-28-41.lvc,2750,35,761175,137546,623629,81.9298%,35.29,3044.70
vc-lcevc-01_120frames_LCEVC_AVC_SW2-2750_QP37_2025-07-24_10-29-09.lvc,2750,37,857620,107046,750574,87.5182%,34.95,3430.48
vc-lcevc-01_120frames_LCEVC_AVC_SW2-2750_QP32_2025-07-24_10-29-13.lvc,2750,32,669429,203546,465883,69.5941%,35.88,2677.72
vc-lcevc-01_120frames_LCEVC_AVC_SW2-2750_QP30_2025-07-24_10-29-40.lvc,2750,30,632178,268683,363495,57.4988%,36.40,2528.71
vc-lcevc-01_120frames_LCEVC_AVC_SW2-1750_QP25_2025-07-24_10-29-07.lvc,1750,25,2442718,528679,1914039,78.3569%,40.94,9770.87
vc-lcevc-01_120frames_LCEVC_AVC_SW2-2750_QP27_2025-07-24_10-30-59.lvc,2750,27,600914,397801,203113,33.8007%,37.47,2403.66
vc-lcevc-01_120frames_LCEVC_AVC_SW2-3250_QP35_2025-07-24_10-31-27.lvc,3250,35,319411,137546,181865,56.9376%,33.94,1277.64
vc-lcevc-01_120frames_LCEVC_AVC_SW2-1750_QP22_2025-07-24_10-30-58.lvc,1750,22,2259129,836154,1422975,62.9878%,41.51,9036.52
vc-lcevc-01_120frames_LCEVC_AVC_SW2-3250_QP37_2025-07-24_10-31-53.lvc,3250,37,328505,107046,221459,67.4142%,33.45,1314.02
vc-lcevc-01_120frames_LCEVC_AVC_SW2-3250_QP32_2025-07-24_10-31-58.lvc,3250,32,328654,203546,125108,38.0668%,34.90,1314.62
vc-lcevc-01_120frames_LCEVC_AVC_SW2-3250_QP30_2025-07-24_10-32-23.lvc,3250,30,373846,268683,105163,28.1300%,35.68,1495.38
vc-lcevc-01_120frames_LCEVC_AVC_SW2-2250_QP25_2025-07-24_10-32-36.lvc,2250,25,1095262,528679,566583,51.7304%,39.14,4381.05
vc-lcevc-01_120frames_LCEVC_AVC_SW2-3250_QP27_2025-07-24_10-33-42.lvc,3250,27,480407,397801,82606,17.1950%,36.89,1921.63
vc-lcevc-01_120frames_LCEVC_AVC_SW2-2250_QP22_2025-07-24_10-34-24.lvc,2250,22,1243229,836154,407075,32.7434%,40.13,4972.92
vc-lcevc-01_120frames_LCEVC_AVC_SW2-2750_QP25_2025-07-24_10-36-00.lvc,2750,25,715498,528679,186819,26.1103%,38.23,2861.99
vc-lcevc-01_120frames_LCEVC_AVC_SW2-2750_QP22_2025-07-24_10-37-47.lvc,2750,22,998218,836154,162064,16.2353%,39.30,3992.87
vc-lcevc-01_120frames_LCEVC_AVC_SW2-3250_QP25_2025-07-24_10-39-24.lvc,3250,25,608435,528679,79756,13.1084%,37.62,2433.74
vc-lcevc-01_120frames_LCEVC_AVC_SW2-3250_QP22_2025-07-24_10-41-06.lvc,3250,22,911939,836154,75785,8.3103%,38.54,3647.76
