file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,psnr_avg,bitrate_kbps
vc-philips-01_120frames-Resample,0,0,1492992000,0,0,0%,49.41,0
vc-philips-01_120frames_LCEVC_AVC_SW2-750_QP35_2025-07-24_11-17-03.lvc,750,35,5405409,250398,5155011,95.3676%,40.88,21621.64
vc-philips-01_120frames_LCEVC_AVC_SW2-750_QP37_2025-07-24_11-17-08.lvc,750,37,6029336,170763,5858573,97.1678%,40.41,24117.34
vc-philips-01_120frames_LCEVC_AVC_SW2-750_QP32_2025-07-24_11-17-46.lvc,750,32,4520053,430584,4089469,90.4739%,41.51,18080.21
vc-philips-01_120frames_LCEVC_AVC_SW2-750_QP30_2025-07-24_11-18-16.lvc,750,30,3972532,621762,3350770,84.3485%,42.00,15890.13
vc-philips-01_120frames_LCEVC_AVC_SW2-750_QP27_2025-07-24_11-19-26.lvc,750,27,3261794,1064344,2197450,67.3694%,42.75,13047.18
vc-philips-01_120frames_LCEVC_AVC_SW2-1250_QP35_2025-07-24_11-19-37.lvc,1250,35,1849256,250398,1598858,86.4595%,39.10,7397.02
vc-philips-01_120frames_LCEVC_AVC_SW2-1250_QP37_2025-07-24_11-19-41.lvc,1250,37,2113496,170763,1942733,91.9204%,38.52,8453.98
vc-philips-01_120frames_LCEVC_AVC_SW2-1250_QP32_2025-07-24_11-20-19.lvc,1250,32,1545541,430584,1114957,72.1402%,40.04,6182.16
vc-philips-01_120frames_LCEVC_AVC_SW2-1250_QP30_2025-07-24_11-20-53.lvc,1250,30,1440842,621762,819080,56.8473%,40.77,5763.37
vc-philips-01_120frames_LCEVC_AVC_SW2-1750_QP37_2025-07-24_11-22-21.lvc,1750,37,1113974,170763,943211,84.6708%,37.85,4455.90
vc-philips-01_120frames_LCEVC_AVC_SW2-1750_QP35_2025-07-24_11-22-06.lvc,1750,35,1013622,250398,763224,75.2967%,38.53,4054.49
vc-philips-01_120frames_LCEVC_AVC_SW2-1250_QP27_2025-07-24_11-22-00.lvc,1250,27,1495875,1064344,431531,28.8481%,41.96,5983.50
vc-philips-01_120frames_LCEVC_AVC_SW2-750_QP25_2025-07-24_11-21-25.lvc,750,25,3033832,1501425,1532407,50.5106%,43.40,12135.33
vc-philips-01_120frames_LCEVC_AVC_SW2-1750_QP32_2025-07-24_11-22-51.lvc,1750,32,952312,430584,521728,54.7854%,39.66,3809.25
vc-philips-01_120frames_LCEVC_AVC_SW2-750_QP22_2025-07-24_11-22-45.lvc,750,22,3113092,2433378,679714,21.8340%,44.51,12452.37
vc-philips-01_120frames_LCEVC_AVC_SW2-1750_QP30_2025-07-24_11-23-28.lvc,1750,30,1004453,621762,382691,38.0994%,40.51,4017.81
vc-philips-01_120frames_LCEVC_AVC_SW2-2250_QP37_2025-07-24_11-24-54.lvc,2250,37,1050433,170763,879670,83.7436%,37.75,4201.73
vc-philips-01_120frames_LCEVC_AVC_SW2-1750_QP27_2025-07-24_11-24-58.lvc,1750,27,1280711,1064344,216367,16.8943%,41.86,5122.84
vc-philips-01_120frames_LCEVC_AVC_SW2-2250_QP35_2025-07-24_11-24-58.lvc,2250,35,953199,250398,702801,73.7308%,38.45,3812.80
vc-philips-01_120frames_AVC-Only_QP37.264,264,37,617900,0,0,0%,39.52,2471.60
vc-philips-01_120frames_LCEVC_AVC_SW2-2250_QP32_2025-07-24_11-25-33.lvc,2250,32,900922,430584,470338,52.2063%,39.62,3603.69
vc-philips-01_120frames_LCEVC_AVC_SW2-1250_QP25_2025-07-24_11-24-58.lvc,1250,25,1772230,1501425,270805,15.2805%,42.88,7088.92
vc-philips-01_120frames_LCEVC_AVC_SW2-2250_QP30_2025-07-24_11-26-00.lvc,2250,30,963350,621762,341588,35.4583%,40.48,3853.40
vc-philips-01_120frames_AVC-Only_QP35.264,264,35,850687,0,0,0%,40.68,3402.75
vc-philips-01_120frames_LCEVC_AVC_SW2-1250_QP22_2025-07-24_11-25-55.lvc,1250,22,2540686,2433378,107308,4.2236%,44.33,10162.74
vc-philips-01_120frames_AVC-Only_QP32.264,264,32,1368899,0,0,0%,42.38,5475.60
