file, sw2, lvc_size, base_size, enhance_size, enhancement_ratio,psnr_avg
SOCCER_LCEVC_AVC_SW2-4_QP24_2025-06-28_15-16-37.lvc, 4, 34133202,323042,33810160,99.0536%,49.12
SOCCER_LCEVC_AVC_SW2-100_QP24_2025-06-28_15-16-50.lvc, 100, 26462964,323042,26139922,98.7793%,43.08
SOCCER_LCEVC_AVC_SW2-200_QP24_2025-06-28_15-17-02.lvc, 200, 20194456,323042,19871414,98.4003%,45.63
SOCCER_LCEVC_AVC_SW2-300_QP24_2025-06-28_15-17-12.lvc, 300, 15428790,323042,15105748,97.9062%,46.38
SOCCER_LCEVC_AVC_SW2-400_QP24_2025-06-28_15-17-22.lvc, 400, 12620453,323042,12297411,97.4403%,46.51
SOCCER_LCEVC_AVC_SW2-500_QP24_2025-06-28_15-17-32.lvc, 500, 10470685,323042,10147643,96.9148%,46.00
SOCCER_LCEVC_AVC_SW2-600_QP24_2025-06-28_15-17-41.lvc, 600, 8715076,323042,8392034,96.2933%,45.42
SOCCER_LCEVC_AVC_SW2-700_QP24_2025-06-28_15-17-50.lvc, 700, 7242320,323042,6919278,95.5395%,44.84
SOCCER_LCEVC_AVC_SW2-800_QP24_2025-06-28_15-17-58.lvc, 800, 6088020,323042,5764978,94.6938%,44.06
SOCCER_LCEVC_AVC_SW2-900_QP24_2025-06-28_15-18-06.lvc, 900, 5097854,323042,4774812,93.6632%,43.20
SOCCER_LCEVC_AVC_SW2-1000_QP24_2025-06-28_15-18-14.lvc, 1000, 4286198,323042,3963156,92.4632%,42.26
SOCCER_LCEVC_AVC_SW2-1100_QP24_2025-06-28_15-18-22.lvc, 1100, 3632678,323042,3309636,91.1073%,41.48
SOCCER_LCEVC_AVC_SW2-1200_QP24_2025-06-28_15-18-30.lvc, 1200, 3096610,323042,2773568,89.5679%,40.66
SOCCER_LCEVC_AVC_SW2-1300_QP24_2025-06-28_15-18-38.lvc, 1300, 2653214,323042,2330172,87.8245%,39.89
SOCCER_LCEVC_AVC_SW2-1400_QP24_2025-06-28_15-18-45.lvc, 1400, 2273480,323042,1950438,85.7909%,39.19
SOCCER_LCEVC_AVC_SW2-1500_QP24_2025-06-28_15-18-53.lvc, 1500, 1748240,323042,1425198,81.5219%,38.70
SOCCER_LCEVC_AVC_SW2-1600_QP24_2025-06-28_15-19-00.lvc, 1600, 1502111,323042,1179069,78.4941%,38.11
SOCCER_LCEVC_AVC_SW2-1700_QP24_2025-06-28_15-19-07.lvc, 1700, 1281483,323042,958441,74.7916%,37.55
SOCCER_LCEVC_AVC_SW2-1800_QP24_2025-06-28_15-19-15.lvc, 1800, 1106258,323042,783216,70.7987%,37.09
SOCCER_LCEVC_AVC_SW2-1900_QP24_2025-06-28_15-19-22.lvc, 1900, 949043,323042,626001,65.9613%,36.67
SOCCER_LCEVC_AVC_SW2-2000_QP24_2025-06-28_15-19-29.lvc, 2000, 823989,323042,500947,60.7954%,36.31
SOCCER_LCEVC_AVC_SW2-2100_QP24_2025-06-28_15-19-36.lvc, 2100, 720877,323042,397835,55.1876%,35.96
SOCCER_LCEVC_AVC_SW2-2200_QP24_2025-06-28_15-19-43.lvc, 2200, 631348,323042,308306,48.8330%,35.68
SOCCER_LCEVC_AVC_SW2-2300_QP24_2025-06-28_15-19-50.lvc, 2300, 567228,323042,244186,43.0490%,35.45
SOCCER_LCEVC_AVC_SW2-2400_QP24_2025-06-28_15-19-57.lvc, 2400, 516104,323042,193062,37.4076%,35.22
SOCCER_LCEVC_AVC_SW2-2500_QP24_2025-06-28_15-20-04.lvc, 2500, 476906,323042,153864,32.2630%,35.02
SOCCER_LCEVC_AVC_SW2-2600_QP24_2025-06-28_15-20-11.lvc, 2600, 444756,323042,121714,27.3665%,34.88
SOCCER_LCEVC_AVC_SW2-2700_QP24_2025-06-28_15-20-18.lvc, 2700, 418212,323042,95170,22.7564%,34.70
