file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_avg
Bosphorus-4k_LCEVC_AVC_SW2-250_QP25_2025-10-02_04-54-08.lvc,250,25,471219752,5138918,466080834,98.9094%,376975.80,43.12,46.98,46.51,44.03
Bosphorus-4k_LCEVC_AVC_SW2-250_QP22_2025-10-02_04-58-37.lvc,250,22,458553389,8770175,449783214,98.0874%,366842.71,43.96,47.76,47.18,44.85
Bosphorus-4k_LCEVC_AVC_SW2-250_QP27_2025-10-02_05-10-06.lvc,250,27,100601035,3742937,96858098,96.2794%,80480.83,42.47,44.09,43.83,42.91
Bosphorus-4k_LCEVC_AVC_SW2-750_QP25_2025-10-02_05-13-58.lvc,750,25,92583511,5138918,87444593,94.4494%,74066.81,42.63,46.35,45.90,43.52
Bosphorus-4k_LCEVC_AVC_SW2-750_QP22_2025-10-02_05-18-35.lvc,750,22,88123520,8770175,79353345,90.0479%,70498.82,43.37,46.99,46.45,44.23
Bosphorus-4k_LCEVC_AVC_SW2-750_QP27_2025-10-02_05-24-52.lvc,750,27,33546348,3742937,29803411,88.8425%,26837.08,42.05,44.09,43.83,42.59
Bosphorus-4k_AVC-Only_QP37.264,264,37,3291638,0,0,0%,2633.31,38.79,41.46,40.82,39.44
Bosphorus-4k_AVC-Only_QP35.264,264,35,4059532,0,0,0%,3247.63,39.79,42.40,41.89,40.44
Bosphorus-4k_LCEVC_AVC_SW2-1250_QP25_2025-10-02_05-32-43.lvc,1250,25,24446971,5138918,19308053,78.9793%,19557.58,41.74,45.29,44.97,42.61
Bosphorus-4k_LCEVC_AVC_SW2-250_QP37_2025-10-02_05-37-40.lvc,250,37,106941955,869582,106072373,99.1869%,85553.56,38.71,41.66,41.33,39.46
Bosphorus-4k_LCEVC_AVC_SW2-1250_QP27_2025-10-02_05-39-47.lvc,1250,27,13326569,3742937,9583632,71.9137%,10661.26,41.15,44.09,43.83,41.90
Bosphorus-4k_LCEVC_AVC_SW2-250_QP35_2025-10-02_05-39-42.lvc,250,35,105591173,1153443,104437730,98.9076%,84472.94,39.54,42.10,41.78,40.20
Bosphorus-4k_LCEVC_AVC_SW2-1250_QP22_2025-10-02_05-36-59.lvc,1250,22,23526950,8770175,14756775,62.7229%,18821.56,42.53,45.98,45.56,43.37
Bosphorus-4k_AVC-Only_QP32.264,264,32,5658831,0,0,0%,4527.06,41.00,43.54,43.26,41.66
Bosphorus-4k_LCEVC_AVC_SW2-250_QP32_2025-10-02_05-41-40.lvc,250,32,103478295,1768681,101709614,98.2908%,82782.64,40.74,42.88,42.55,41.30
Bosphorus-4k_LCEVC_AVC_SW2-250_QP30_2025-10-02_05-42-07.lvc,250,30,102162788,2384668,99778120,97.6658%,81730.23,41.42,43.40,43.23,41.97
Bosphorus-4k_AVC-Only_QP30.264,264,30,7407665,0,0,0%,5926.13,41.73,44.24,44.02,42.39
Bosphorus-4k_LCEVC_AVC_SW2-750_QP37_2025-10-02_05-52-36.lvc,750,37,40002780,869582,39133198,97.8262%,32002.22,38.54,41.66,41.33,39.32
Bosphorus-4k_AVC-Only_QP27.264,264,27,11321190,0,0,0%,9056.95,42.67,45.19,44.87,43.33
Bosphorus-4k_LCEVC_AVC_SW2-1750_QP25_2025-10-02_05-50-49.lvc,1750,25,9741773,5138918,4602855,47.2486%,7793.42,41.37,44.80,44.51,42.21
Bosphorus-4k_LCEVC_AVC_SW2-1750_QP27_2025-10-02_05-54-40.lvc,1750,27,7079421,3742937,3336484,47.1293%,5663.54,40.72,44.09,43.83,41.55
Bosphorus-4k_LCEVC_AVC_SW2-750_QP35_2025-10-02_05-55-41.lvc,750,35,38619729,1153443,37466286,97.0133%,30895.78,39.33,42.10,41.78,40.04
Bosphorus-4k_LCEVC_AVC_SW2-750_QP32_2025-10-02_05-58-24.lvc,750,32,36421774,1768681,34653093,95.1439%,29137.42,40.46,42.88,42.55,41.09
Bosphorus-4k_LCEVC_AVC_SW2-750_QP30_2025-10-02_05-58-47.lvc,750,30,35069928,2384668,32685260,93.2002%,28055.94,41.09,43.40,43.23,41.71
Bosphorus-4k_LCEVC_AVC_SW2-1750_QP22_2025-10-02_05-56-05.lvc,1750,22,11393458,8770175,2623283,23.0245%,9114.77,42.27,45.64,45.24,43.10
Bosphorus-4k_LCEVC_AVC_SW2-1250_QP37_2025-10-02_06-07-11.lvc,1250,37,17938342,869582,17068760,95.1524%,14350.67,37.92,41.66,41.33,38.82
Bosphorus-4k_LCEVC_AVC_SW2-2250_QP27_2025-10-02_06-09-32.lvc,2250,27,4765990,3742937,1023053,21.4657%,3812.79,40.50,44.09,43.83,41.37
Bosphorus-4k_LCEVC_AVC_SW2-1250_QP35_2025-10-02_06-10-49.lvc,1250,35,16852608,1153443,15699165,93.1557%,13482.09,38.61,42.10,41.78,39.46
Bosphorus-4k_LCEVC_AVC_SW2-2250_QP25_2025-10-02_06-08-50.lvc,2250,25,6070889,5138918,931971,15.3515%,4856.71,41.23,44.68,44.38,42.08
Bosphorus-4k_LCEVC_AVC_SW2-1250_QP32_2025-10-02_06-13-17.lvc,1250,32,15207585,1768681,13438904,88.3697%,12166.07,39.61,42.88,42.55,40.42
Bosphorus-4k_LCEVC_AVC_SW2-1250_QP30_2025-10-02_06-13-49.lvc,1250,30,14256234,2384668,11871566,83.2728%,11404.99,40.21,43.40,43.23,41.02
Bosphorus-4k_AVC-Only_QP22.264,264,22,27537593,0,0,0%,22030.07,44.05,46.90,46.38,44.75
Bosphorus-4k_LCEVC_AVC_SW2-2250_QP22_2025-10-02_06-14-42.lvc,2250,22,9126172,8770175,355997,3.9008%,7300.94,42.23,45.60,45.20,43.05
Bosphorus-4k_LCEVC_AVC_SW2-1750_QP37_2025-10-02_06-21-36.lvc,1750,37,9651867,869582,8782285,90.9905%,7721.49,37.21,41.66,41.33,38.23
Bosphorus-4k_LCEVC_AVC_SW2-2750_QP27_2025-10-02_06-24-12.lvc,2750,27,3993903,3742937,250966,6.2837%,3195.12,40.45,44.09,43.83,41.34
Bosphorus-4k_LCEVC_AVC_SW2-1750_QP35_2025-10-02_06-25-24.lvc,1750,35,8832790,1153443,7679347,86.9414%,7066.23,37.93,42.10,41.78,38.91
Bosphorus-4k_LCEVC_AVC_SW2-1750_QP30_2025-10-02_06-28-14.lvc,1750,30,7216799,2384668,4832131,66.9567%,5773.44,39.70,43.40,43.23,40.60
Bosphorus-4k_LCEVC_AVC_SW2-1750_QP32_2025-10-02_06-28-33.lvc,1750,32,7713693,1768681,5945012,77.0709%,6170.95,39.03,42.88,42.55,39.94
Bosphorus-4k_LCEVC_AVC_SW2-2750_QP25_2025-10-02_06-28-13.lvc,2750,25,5290098,5138918,151180,2.8578%,4232.08,41.22,44.67,44.37,42.07
Bosphorus-4k_LCEVC_AVC_SW2-2250_QP37_2025-10-02_06-36-04.lvc,2250,37,5512755,869582,4643173,84.2260%,4410.20,36.75,41.66,41.33,37.83
Bosphorus-4k_LCEVC_AVC_SW2-2750_QP22_2025-10-02_06-32-42.lvc,2750,22,8818969,8770175,48794,0.5533%,7055.18,42.23,45.60,45.20,43.05
Bosphorus-4k_LCEVC_AVC_SW2-3250_QP27_2025-10-02_06-38-26.lvc,3250,27,3788549,3742937,45612,1.2039%,3030.84,40.45,44.09,43.83,41.34
Bosphorus-4k_LCEVC_AVC_SW2-2250_QP35_2025-10-02_06-39-38.lvc,2250,35,4968718,1153443,3815275,76.7859%,3974.97,37.50,42.10,41.78,38.54
Bosphorus-4k_LCEVC_AVC_SW2-2250_QP30_2025-10-02_06-42-40.lvc,2250,30,4240844,2384668,1856176,43.7690%,3392.68,39.36,43.40,43.23,40.32
