file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_avg
Bosphorus-4k_LCEVC_VVC_SW2-250_QP37_2025-10-02_17-47-03.lvc,250,37,25102493,478557,24623936,98.0936%,20081.99,38.10,43.29,42.48,39.19
Bosphorus-4k_LCEVC_VVC_SW2-750_QP37_2025-10-02_18-02-05.lvc,750,37,18549657,478557,18071100,97.4201%,14839.73,37.92,43.29,42.48,39.04
Bosphorus-4k_LCEVC_VVC_SW2-1250_QP37_2025-10-02_18-16-39.lvc,1250,37,9351249,478557,8872692,94.8824%,7481.00,37.34,43.29,42.48,38.53
Bosphorus-4k_LCEVC_VVC_SW2-1750_QP37_2025-10-02_18-31-02.lvc,1750,37,4396188,478557,3917631,89.1143%,3516.95,36.62,43.29,42.48,37.89
Bosphorus-4k_LCEVC_VVC_SW2-2250_QP37_2025-10-02_18-45-42.lvc,2250,37,1926660,478557,1448103,75.1613%,1541.33,35.91,43.29,42.48,37.25
Bosphorus-4k_LCEVC_VVC_SW2-2750_QP37_2025-10-02_19-00-15.lvc,2750,37,881214,478557,402657,45.6934%,704.97,35.38,43.29,42.48,36.77
Bosphorus-4k_LCEVC_VVC_SW2-250_QP35_2025-10-02_19-13-56.lvc,250,35,23976632,669163,23307469,97.2091%,19181.31,38.78,43.70,42.92,39.83
Bosphorus-4k_LCEVC_VVC_SW2-3250_QP37_2025-10-02_19-14-46.lvc,3250,37,583928,478557,105371,18.0452%,467.14,35.00,43.29,42.48,36.42
Bosphorus-4k_LCEVC_VVC_SW2-750_QP35_2025-10-02_19-28-48.lvc,750,35,17516701,669163,16847538,96.1799%,14013.36,38.57,43.70,42.92,39.66
Bosphorus-4k_LCEVC_VVC_SW2-1250_QP35_2025-10-02_19-43-41.lvc,1250,35,8576906,669163,7907743,92.1981%,6861.52,37.93,43.70,42.92,39.10
Bosphorus-4k_LCEVC_VVC_SW2-1750_QP35_2025-10-02_19-58-22.lvc,1750,35,3939474,669163,3270311,83.0139%,3151.58,37.19,43.70,42.92,38.45
Bosphorus-4k_LCEVC_VVC_SW2-2250_QP35_2025-10-02_20-12-46.lvc,2250,35,1752618,669163,1083455,61.8192%,1402.09,36.53,43.70,42.92,37.86
Bosphorus-4k_LCEVC_VVC_SW2-2750_QP35_2025-10-02_20-27-04.lvc,2750,35,933954,669163,264791,28.3516%,747.16,36.06,43.70,42.92,37.43
