file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_avg
RaceNight_LCEVC_AVC_SW2-250_QP27_2025-09-20_20-47-30.lvc,250,27,502491133,9144940,493346193,98.1801%,334994.09,39.53,42.67,42.40,40.32,
RaceNight_LCEVC_AVC_SW2-250_QP35_2025-09-20_20-47-33.lvc,250,35,521235724,3466802,517768922,99.3349%,347490.48,39.02,40.86,40.65,39.52,
RaceNight_LCEVC_AVC_SW2-250_QP30_2025-09-20_20-47-31.lvc,250,30,509245744,6265555,502980189,98.7696%,339497.16,39.40,42.04,41.87,40.10,
RaceNight_LCEVC_AVC_SW2-250_QP32_2025-09-20_20-47-32.lvc,250,32,514245722,4865137,509380585,99.0539%,342830.48,39.29,41.53,41.30,39.89,
RaceNight_LCEVC_AVC_SW2-250_QP37_2025-09-20_20-47-34.lvc,250,37,525721089,2788682,522932407,99.4696%,350480.73,38.79,40.59,40.35,39.28,
RaceNight_LCEVC_AVC_SW2-250_QP22_2025-09-20_20-47-27.lvc,250,22,1085878721,17889361,1067989360,98.3525%,723919.15,39.65,48.12,47.12,41.07,
RaceNight_LCEVC_AVC_SW2-250_QP25_2025-09-20_20-47-28.lvc,250,25,1099043141,11826956,1087216185,98.9239%,732695.43,39.58,47.83,46.90,40.99,
RaceNight_LCEVC_AVC_SW2-750_QP27_2025-09-20_21-23-46.lvc,750,27,170008771,9144940,160863831,94.6209%,113339.18,39.09,42.67,42.40,39.96,
RaceNight_LCEVC_AVC_SW2-750_QP32_2025-09-20_21-33-20.lvc,750,32,183969221,4865137,179104084,97.3555%,122646.15,38.87,41.53,41.30,39.57,
RaceNight_LCEVC_AVC_SW2-750_QP30_2025-09-20_21-31-41.lvc,750,30,178114013,6265555,171848458,96.4823%,118742.68,38.98,42.04,41.87,39.76,
RaceNight_LCEVC_AVC_SW2-750_QP35_2025-09-20_21-31-41.lvc,750,35,192004759,3466802,188537957,98.1944%,128003.17,38.64,40.86,40.65,39.23,
