file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_avg
RaceNight_LCEVC_VVC_SW2-250_QP37_2025-09-25_14-16-18.lvc,250,37,121210246,1625914,119584332,98.6586%,80806.83,38.29,41.23,41.23,39.07,
RaceNight_LCEVC_VVC_SW2-750_QP37_2025-09-25_14-32-28.lvc,750,37,82679925,1625914,81054011,98.0335%,55119.95,37.65,41.23,41.23,38.55,
RaceNight_LCEVC_VVC_SW2-1250_QP37_2025-09-25_14-48-06.lvc,1250,37,30496652,1625914,28870738,94.6685%,20331.10,36.25,41.23,41.23,37.37,
RaceNight_LCEVC_VVC_SW2-1750_QP37_2025-09-25_15-03-24.lvc,1750,37,11049349,1625914,9423435,85.2850%,7366.23,35.49,41.23,41.23,36.70,
RaceNight_LCEVC_VVC_SW2-2250_QP37_2025-09-25_15-18-41.lvc,2250,37,4446148,1625914,2820234,63.4310%,2964.10,34.86,41.23,41.23,36.15,
RaceNight_LCEVC_VVC_SW2-2750_QP37_2025-09-25_15-33-24.lvc,2750,37,2448354,1625914,822440,33.5915%,1632.24,34.44,41.23,41.23,35.77,
RaceNight_LCEVC_VVC_SW2-3250_QP37_2025-09-25_15-48-23.lvc,3250,37,1861272,1625914,235358,12.6450%,1240.85,34.30,41.23,41.23,35.64,
RaceNight_LCEVC_VVC_SW2-250_QP35_2025-09-25_16-49-46.lvc,250,35,116344836,2116094,114228742,98.1812%,77563.22,38.41,41.83,41.67,39.26,
RaceNight_LCEVC_VVC_SW2-750_QP35_2025-09-25_17-05-41.lvc,750,35,78408313,2116094,76292219,97.3012%,52272.21,37.75,41.83,41.67,38.72,
RaceNight_LCEVC_VVC_SW2-1250_QP35_2025-09-25_17-21-22.lvc,1250,35,27300993,2116094,25184899,92.2490%,18200.66,36.34,41.83,41.67,37.52,
RaceNight_LCEVC_VVC_SW2-1750_QP35_2025-09-25_17-36-47.lvc,1750,35,9399864,2116094,7283770,77.4880%,6266.58,35.62,41.83,41.67,36.88,
RaceNight_LCEVC_VVC_SW2-2250_QP35_2025-09-25_17-52-05.lvc,2250,35,4083003,2116094,1966909,48.1731%,2722.00,35.08,41.83,41.67,36.40,
RaceNight_elscLCEVC_VVC_SW2-2750_QP35_2025-09-25_18-07-23.lvc,2750,35,2609589,2116094,493495,18.9108%,1739.73,34.78,41.83,41.67,36.12,
