file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_avg
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-250_QP27_2025-09-29_08-18-14.lvc,250,27,812521798,5859854,806661944,99.2788%,650017.44,46.55,39.60,43.63,43.95
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-250_QP25_2025-09-29_08-24-16.lvc,250,25,1177887314,7846741,1170040573,99.3338%,942309.85,46.87,49.05,53.77,47.83
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-250_QP22_2025-09-29_08-33-24.lvc,250,22,1139849198,12292502,1127556696,98.9216%,911879.36,47.36,49.71,54.29,48.34
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-750_QP27_2025-09-29_08-44-46.lvc,750,27,262777624,5859854,256917770,97.7700%,210222.10,44.33,39.60,43.63,43.00
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-250_QP30_2025-09-29_08-43-42.lvc,250,30,838219556,3811943,834407613,99.5452%,670575.64,46.05,38.62,43.03,43.21
vc-globo-05-600frames-420p_AVC-Only_QP37.264,264,37,4548615,0,0,0%,3638.89,35.36,38.25,40.93,36.34
vc-globo-05-600frames-420p_AVC-Only_QP35.264,264,35,5750867,0,0,0%,4600.69,36.43,38.72,41.48,37.31
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-750_QP25_2025-09-29_08-50-07.lvc,750,25,318091118,7846741,310244377,97.5332%,254472.89,44.50,46.25,49.14,45.28
vc-globo-05-600frames-420p_AVC-Only_QP32.264,264,32,8377442,0,0,0%,6701.95,38.07,39.76,42.87,38.86
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-250_QP32_2025-09-29_09-00-08.lvc,250,32,855728117,2826168,852901949,99.6697%,684582.49,45.73,37.88,42.42,42.63
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-1250_QP27_2025-09-29_09-03-07.lvc,1250,27,94159330,5859854,88299476,93.7767%,75327.46,41.30,39.60,43.63,41.26
vc-globo-05-600frames-420p_AVC-Only_QP30.264,264,30,10932992,0,0,0%,8746.39,39.16,40.57,43.98,39.91
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-750_QP30_2025-09-29_09-03-19.lvc,750,30,283335941,3811943,279523998,98.6546%,226668.75,44.05,38.62,43.03,42.41
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-750_QP22_2025-09-29_09-00-43.lvc,750,22,291891481,12292502,279598979,95.7887%,233513.18,44.78,46.57,49.31,45.56
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-250_QP37_2025-09-29_09-03-43.lvc,250,37,891004278,1372904,889631374,99.8459%,712803.42,44.68,36.56,41.27,41.43
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-250_QP35_2025-09-29_09-03-50.lvc,250,35,878313617,1830531,876483086,99.7916%,702650.89,45.13,36.98,41.60,41.85
vc-globo-05-600frames-420p_AVC-Only_QP27.264,264,27,16203118,0,0,0%,12962.49,40.74,41.64,44.92,41.36
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-1250_QP25_2025-09-29_09-12-23.lvc,1250,25,105252363,7846741,97405622,92.5448%,84201.89,41.49,43.33,46.29,42.30
vc-globo-05-600frames-420p_AVC-Only_QP25.264,264,25,21302171,0,0,0%,17041.74,41.81,42.58,45.68,42.39
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-1750_QP27_2025-09-29_09-19-46.lvc,1750,27,37263638,5859854,31403784,84.2746%,29810.91,38.94,39.60,43.63,39.56
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-750_QP32_2025-09-29_09-19-22.lvc,750,32,297052758,2826168,294226590,99.0486%,237642.21,43.86,37.88,42.42,41.93
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-1250_QP30_2025-09-29_09-20-11.lvc,1250,30,108373491,3811943,104561548,96.4826%,86698.79,41.05,38.62,43.03,40.78
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-750_QP35_2025-09-29_09-23-54.lvc,750,35,315003479,1830531,313172948,99.4189%,252002.78,43.48,36.98,41.60,41.26
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-750_QP37_2025-09-29_09-23-55.lvc,750,37,325192980,1372904,323820076,99.5778%,260154.38,43.18,36.56,41.27,40.90
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-1250_QP22_2025-09-29_09-23-49.lvc,1250,22,90113303,12292502,77820801,86.3588%,72090.64,41.79,43.67,46.54,42.59
vc-globo-05-600frames-420p_AVC-Only_QP22.264,264,22,33673995,0,0,0%,26939.20,43.38,43.96,46.77,43.89
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-2250_QP27_2025-09-29_09-35-43.lvc,2250,27,14389999,5859854,8530145,59.2783%,11512.00,37.53,39.60,43.63,38.44
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-1750_QP30_2025-09-29_09-36-52.lvc,1750,30,45868897,3811943,42056954,91.6895%,36695.12,38.58,38.62,43.03,39.08
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-1750_QP25_2025-09-29_09-33-23.lvc,1750,25,37354915,7846741,29508174,78.9941%,29883.93,39.26,41.35,44.71,40.13
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-1250_QP32_2025-09-29_09-37-08.lvc,1250,32,118517356,2826168,115691188,97.6154%,94813.88,40.89,37.88,42.42,40.41
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-1250_QP37_2025-09-29_09-41-05.lvc,1250,37,140900016,1372904,139527112,99.0256%,112720.01,40.48,36.56,41.27,39.63
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-1250_QP35_2025-09-29_09-41-05.lvc,1250,35,132530635,1830531,130700104,98.6188%,106024.51,40.65,36.98,41.60,39.90
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-1750_QP22_2025-09-29_09-45-53.lvc,1750,22,30573367,12292502,18280865,59.7934%,24458.69,39.90,42.09,45.33,40.79
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-2750_QP27_2025-09-29_09-52-26.lvc,2750,27,7421573,5859854,1561719,21.0430%,5937.26,37.12,39.60,43.63,38.10
vc-globo-05-600frames-420p_LCEVC_AVC_SW2-2250_QP30_2025-09-29_09-54-11.lvc,2250,30,18692217,3811943,14880274,79.6068%,14953.77,36.78,38.62,43.03,37.67
