file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_avg
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-250_QP37_2025-09-30_04-05-59.lvc,250,37,221700694,819552,220881142,99.6303%,177360.56,42.46,37.06,41.98,40.90
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-750_QP37_2025-09-30_04-23-47.lvc,750,37,165210410,819552,164390858,99.5039%,132168.33,41.54,37.06,41.98,40.45
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-1250_QP37_2025-09-30_04-42-10.lvc,1250,37,80504923,819552,79685371,98.9820%,64403.94,39.14,37.06,41.98,39.04
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-1750_QP37_2025-09-30_04-59-37.lvc,1750,37,33660982,819552,32841430,97.5653%,26928.79,36.58,37.06,41.98,37.21
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-2250_QP37_2025-09-30_05-16-33.lvc,2250,37,11506935,819552,10687383,92.8778%,9205.55,34.39,37.06,41.98,35.43
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-2750_QP37_2025-09-30_05-34-23.lvc,2750,37,2927282,819552,2107730,72.0030%,2341.83,32.63,37.06,41.98,33.90
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-250_QP35_2025-09-30_05-45-04.lvc,250,35,212203907,1119918,211083989,99.4722%,169763.13,42.70,37.82,42.46,41.38
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-3250_QP37_2025-09-30_05-55-06.lvc,3250,37,1060969,819552,241417,22.7544%,848.78,31.67,37.06,41.98,33.03
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-750_QP35_2025-09-30_06-05-15.lvc,750,35,156417210,1119918,155297292,99.2840%,125133.77,41.75,37.82,42.46,40.88
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-1250_QP35_2025-09-30_06-23-36.lvc,1250,35,73801114,1119918,72681196,98.4825%,59040.89,39.30,37.82,42.46,39.38
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-1750_QP35_2025-09-30_06-41-23.lvc,1750,35,29329877,1119918,28209959,96.1816%,23463.90,36.75,37.82,42.46,37.50
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-2250_QP35_2025-09-30_06-59-52.lvc,2250,35,9291348,1119918,8171430,87.9467%,7433.08,34.65,37.82,42.46,35.76
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-2750_QP35_2025-09-30_07-15-28.lvc,2750,35,2506100,1119918,1386182,55.3123%,2004.88,33.05,37.82,42.46,34.35
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-3250_QP35_2025-09-30_07-30-32.lvc,3250,35,1259284,1119918,139366,11.0671%,1007.43,32.24,37.82,42.46,33.61
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-250_QP32_2025-09-30_08-22-59.lvc,250,32,197605520,1764595,195840925,99.1070%,158084.42,42.98,38.78,43.26,41.97
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-750_QP32_2025-09-30_08-39-06.lvc,750,32,142912366,1764595,141147771,98.7653%,114329.89,41.98,38.78,43.26,41.41
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-1250_QP32_2025-09-30_08-57-35.lvc,1250,32,63999638,1764595,62235043,97.2428%,51199.71,39.52,38.78,43.26,39.81
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-1750_QP32_2025-09-30_09-12-49.lvc,1750,32,23284251,1764595,21519656,92.4215%,18627.40,37.05,38.78,43.26,37.92
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-2250_QP32_2025-09-30_09-27-52.lvc,2250,32,6786492,1764595,5021897,73.9984%,5429.19,35.17,38.78,43.26,36.33
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-2750_QP32_2025-09-30_09-43-02.lvc,2750,32,2431899,1764595,667304,27.4396%,1945.52,33.89,38.78,43.26,35.19
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-3250_QP32_2025-09-30_09-57-53.lvc,3250,32,1830056,1764595,65461,3.5770%,1464.04,33.34,38.78,43.26,34.70
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-250_QP30_2025-09-30_10-51-38.lvc,250,30,186941166,2435824,184505342,98.6970%,149552.93,43.15,39.50,43.77,42.37
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-750_QP30_2025-09-30_11-07-17.lvc,750,30,133295042,2435824,130859218,98.1726%,106636.03,42.13,39.50,43.77,41.77
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-1250_QP30_2025-09-30_11-22-44.lvc,1250,30,57385527,2435824,54949703,95.7553%,45908.42,39.67,39.50,43.77,40.10
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-1750_QP30_2025-09-30_11-37-55.lvc,1750,30,19512762,2435824,17076938,87.5168%,15610.21,37.31,39.50,43.77,38.25
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-2250_QP30_2025-09-30_11-53-09.lvc,2250,30,5778487,2435824,3342663,57.8467%,4622.79,35.59,39.50,43.77,36.78
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-2750_QP30_2025-09-30_12-07-55.lvc,2750,30,2802137,2435824,366313,13.0726%,2241.71,34.52,39.50,43.77,35.83
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-3250_QP30_2025-09-30_12-22-37.lvc,3250,30,2473402,2435824,37578,1.5193%,1978.72,34.18,39.50,43.77,35.52
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-250_QP27_2025-09-30_14-25-13.lvc,250,27,170185386,3858382,166327004,97.7328%,136148.31,43.39,40.54,44.57,42.92
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-750_QP27_2025-09-30_14-41-08.lvc,750,27,118621005,3858382,114762623,96.7473%,94896.80,42.36,40.54,44.57,42.27
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-1250_QP27_2025-09-30_14-56-35.lvc,1250,27,47971795,3858382,44113413,91.9570%,38377.44,39.95,40.54,44.57,40.56
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-1750_QP27_2025-09-30_15-11-38.lvc,1750,27,15077206,3858382,11218824,74.4092%,12061.76,37.80,40.54,44.57,38.82
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-2250_QP27_2025-09-30_15-26-39.lvc,2250,27,5541470,3858382,1683088,30.3726%,4433.18,36.39,40.54,44.57,37.60
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-2750_QP27_2025-09-30_15-41-29.lvc,2750,27,4011285,3858382,152903,3.8118%,3209.03,35.73,40.54,44.57,37.02
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-3250_QP27_2025-09-30_15-56-13.lvc,3250,27,3879078,3858382,20696,0.5335%,3103.26,35.62,40.54,44.57,36.92
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-250_QP25_2025-09-30_18-02-13.lvc,250,25,193618319,5322390,188295929,97.2511%,154894.66,43.56,45.62,48.36,44.40
vc-globo-05-600frames-420p_VVC-Only_QP37.bin,265,37,2458404,0,0,0%,1966.72,33.68,39.34,43.51,35.05
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-750_QP25_2025-09-30_18-21-57.lvc,750,25,130095507,5322390,124773117,95.9089%,104076.41,42.52,44.67,47.48,43.37
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-1250_QP25_2025-09-30_18-41-01.lvc,1250,25,47392744,5322390,42070354,88.7696%,37914.20,40.18,42.79,46.00,41.14
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-1750_QP25_2025-09-30_18-59-35.lvc,1750,25,13895231,5322390,8572841,61.6963%,11116.18,38.19,41.66,45.29,39.30
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-2250_QP25_2025-09-30_19-17-54.lvc,2250,25,6385736,5322390,1063346,16.6519%,5108.59,37.05,41.28,45.16,38.27
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-2750_QP25_2025-09-30_19-36-24.lvc,2750,25,5424173,5322390,101783,1.8765%,4339.34,36.73,41.22,45.15,37.98
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-3250_QP25_2025-09-30_19-54-45.lvc,3250,25,5354246,5322390,31856,0.5950%,4283.40,36.71,41.22,45.15,37.96
vc-globo-05-600frames-420p_VVC-Only_QP35.bin,265,35,3296819,0,0,0%,2637.46,34.59,40.22,44.23,35.95
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-250_QP22_2025-10-01_00-18-12.lvc,250,22,166799079,9136218,157662861,94.5226%,133439.26,44.00,45.98,48.56,44.80
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-750_QP22_2025-10-01_00-37-28.lvc,750,22,108662126,9136218,99525908,91.5921%,86929.70,42.94,45.04,47.76,43.78
vc-globo-05-600frames-420p_LCEVC_VVC_SW2-1250_QP22_2025-10-01_00-56-19.lvc,1250,22,36866531,9136218,27730313,75.2181%,29493.22,40.78,43.41,46.54,41.74
