file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_avg
vc-globo-05_LCEVC_AVC_SW2-250_QP37_2025-09-24_03-53-32.lvc,250,37,2619679444,4541911,2615137533,99.8266%,698581.19,45.67,37.30,42.02,41.20,
vc-globo-05_LCEVC_AVC_SW2-250_QP35_2025-09-24_03-53-32.lvc,250,35,2583421271,6102864,2577318407,99.7638%,688912.34,46.47,37.88,42.33,41.76,
vc-globo-05_LCEVC_AVC_SW2-250_QP32_2025-09-24_03-53-31.lvc,250,32,2516610568,9515860,2507094708,99.6219%,671096.15,47.39,38.95,43.05,42.73,
vc-globo-05_LCEVC_AVC_SW2-250_QP27_2025-09-24_03-53-30.lvc,250,27,2389236717,19406901,2369829816,99.1877%,637129.79,48.49,41.13,44.60,44.56,
vc-globo-05_LCEVC_AVC_SW2-250_QP30_2025-09-24_03-53-31.lvc,250,30,2464722940,12810247,2451912693,99.4803%,657259.45,47.86,39.86,43.66,43.49,
vc-globo-05_LCEVC_AVC_SW2-250_QP22_2025-09-24_03-53-29.lvc,250,22,3891569195,37894557,3853674638,99.0262%,1037751.79,49.32,53.38,57.29,51.27,
vc-globo-05_LCEVC_AVC_SW2-250_QP25_2025-09-24_03-53-30.lvc,250,25,4026098393,25460550,4000637843,99.3676%,1073626.24,48.85,52.69,56.66,50.75,
vc-globo-05_LCEVC_AVC_SW2-750_QP32_2025-09-24_08-26-28.lvc,750,32,827935633,9515860,818419773,98.8507%,220782.84,45.14,38.95,43.05,42.25,
vc-globo-05_LCEVC_AVC_SW2-750_QP37_2025-09-24_08-26-28.lvc,750,37,904940836,4541911,900398925,99.4981%,241317.56,44.42,37.30,42.02,40.95,
vc-globo-05_LCEVC_AVC_SW2-750_QP30_2025-09-24_08-31-48.lvc,750,30,790412624,12810247,777602377,98.3793%,210776.70,45.33,39.86,43.66,42.91,
vc-globo-05_LCEVC_AVC_SW2-750_QP35_2025-09-24_08-26-28.lvc,750,35,877270985,6102864,871168121,99.3043%,233938.93,44.78,37.88,42.33,41.43,
vc-globo-05_LCEVC_AVC_SW2-750_QP27_2025-09-24_08-26-28.lvc,750,27,734300961,19406901,714894060,97.3571%,195813.59,45.55,41.13,44.60,43.78,
vc-globo-05_LCEVC_AVC_SW2-750_QP25_2025-09-24_09-08-23.lvc,750,25,1021725944,25460550,996265394,97.5081%,272460.25,45.68,48.80,51.70,47.33,
vc-globo-05_LCEVC_AVC_SW2-750_QP22_2025-09-24_09-08-23.lvc,750,22,932727642,37894557,894833085,95.9372%,248727.37,45.87,49.12,51.91,47.54,
vc-globo-05_LCEVC_AVC_SW2-1250_QP27_2025-09-24_12-56-04.lvc,1250,27,260998033,19406901,241591132,92.5643%,69599.48,41.65,41.13,44.60,42.07,
vc-globo-05_LCEVC_AVC_SW2-1250_QP37_2025-09-24_12-49-19.lvc,1250,37,387107471,4541911,382565560,98.8267%,103228.66,41.00,37.30,42.02,39.91,
vc-globo-05_LCEVC_AVC_SW2-1250_QP30_2025-09-24_12-49-33.lvc,1250,30,299470136,12810247,286659889,95.7224%,79858.70,41.45,39.86,43.66,41.40,
vc-globo-05_LCEVC_AVC_SW2-1250_QP32_2025-09-24_12-49-21.lvc,1250,32,327106418,9515860,317590558,97.0909%,87228.38,41.33,38.95,43.05,40.91,
vc-globo-05_LCEVC_AVC_SW2-1250_QP35_2025-09-24_12-56-07.lvc,1250,35,365035923,6102864,358933059,98.3281%,97342.91,41.16,37.88,42.33,40.29,
vc-globo-05_LCEVC_AVC_SW2-1250_QP22_2025-09-24_13-33-14.lvc,1250,22,278461429,37894557,240566872,86.3915%,74256.38,42.01,45.99,48.88,43.87,
vc-globo-05_LCEVC_AVC_SW2-1250_QP25_2025-09-24_13-33-14.lvc,1250,25,328498142,25460550,303037592,92.2494%,87599.50,41.79,45.64,48.57,43.63,
vc-globo-05_LCEVC_AVC_SW2-1750_QP35_2025-09-24_16-57-33.lvc,1750,35,170047599,6102864,163944735,96.4111%,45346.03,38.20,37.88,42.33,38.83,
vc-globo-05_LCEVC_AVC_SW2-1750_QP27_2025-09-24_16-56-42.lvc,1750,27,105794277,19406901,86387376,81.6560%,28211.81,38.94,41.13,44.60,40.38,
vc-globo-05_LCEVC_AVC_SW2-1750_QP30_2025-09-24_16-56-43.lvc,1750,30,127599026,12810247,114788779,89.9605%,34026.41,38.63,39.86,43.66,39.78,
