file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_avg
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-250_QP32_2025-09-29_07-55-45.lvc,250,32,515266401,1124022,514142379,99.7819%,412213.12,46.88,40.51,44.16,44.57
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-250_QP35_2025-09-29_07-55-45.lvc,250,35,523625971,750531,522875440,99.8567%,418900.78,46.30,39.61,43.52,43.84
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-250_QP37_2025-09-29_07-56-18.lvc,250,37,529008795,574113,528434682,99.8915%,423207.04,45.34,39.14,43.15,43.20
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-250_QP30_2025-09-29_07-56-09.lvc,250,30,507985529,1459643,506525886,99.7127%,406388.42,47.46,41.33,44.89,45.28
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-250_QP27_2025-09-29_07-58-45.lvc,250,27,494904419,2147749,492756670,99.5660%,395923.54,48.23,42.64,46.02,46.33
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-250_QP25_2025-09-29_08-05-31.lvc,250,25,625755343,2797334,622958009,99.5530%,500604.27,48.85,51.07,52.88,49.65
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-750_QP32_2025-09-29_08-18-24.lvc,750,32,138732542,1124022,137608520,99.1898%,110986.03,45.84,40.51,44.16,44.13
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-750_QP35_2025-09-29_08-18-59.lvc,750,35,141640050,750531,140889519,99.4701%,113312.04,45.51,39.61,43.52,43.53
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-750_QP30_2025-09-29_08-19-27.lvc,750,30,136342529,1459643,134882886,98.9294%,109074.02,46.19,41.33,44.89,44.72
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-750_QP37_2025-09-29_08-19-56.lvc,750,37,143241181,574113,142667068,99.5992%,114592.94,44.80,39.14,43.15,42.97
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-750_QP27_2025-09-29_08-19-58.lvc,750,27,131626372,2147749,129478623,98.3683%,105301.10,46.63,42.64,46.02,45.57
vc-lcevc-01-600frames-420p_LCEVC_AVC_SW2-250_QP22_2025-09-29_08-13-09.lvc,250,22,612052289,4306953,607745336,99.2963%,489641.83,50.29,52.47,54.07,51.06
vc-lcevc-01-600frames-420p_AVC-Only_QP35.264,264,35,2514048,0,0,0%,2011.24,38.18,40.41,44.04,39.10
vc-lcevc-01-600frames-420p_AVC-Only_QP37.264,264,37,1895669,0,0,0%,1516.54,37.13,39.56,43.80,38.11
vc-lcevc-01-600frames-420p_AVC-Only_QP32.264,264,32,3826620,0,0,0%,3061.30,39.87,41.78,45.09,40.71
