file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_avg
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-250_QP37_2025-09-30_00-06-23.lvc,250,37,100592160,492475,100099685,99.5104%,80473.73,45.44,41.66,44.89,44.46
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-750_QP37_2025-09-30_00-23-06.lvc,750,37,73417665,492475,72925190,99.3292%,58734.13,44.51,41.66,44.89,43.94
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-1250_QP37_2025-09-30_00-38-40.lvc,1250,37,33732787,492475,33240312,98.5401%,26986.23,42.27,41.66,44.89,42.49
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-250_QP35_2025-09-30_00-39-39.lvc,250,35,97689832,646813,97043019,99.3379%,78151.87,45.75,42.28,45.56,44.92
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-1750_QP37_2025-09-30_00-54-57.lvc,1750,37,12255524,492475,11763049,95.9816%,9804.42,39.81,41.66,44.89,40.63
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-750_QP35_2025-09-30_00-56-06.lvc,750,35,70939791,646813,70292978,99.0882%,56751.83,44.78,42.28,45.56,44.36
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-2250_QP37_2025-09-30_01-10-12.lvc,2250,37,3586904,492475,3094429,86.2702%,2869.52,37.61,41.66,44.89,38.78
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-1250_QP35_2025-09-30_01-11-49.lvc,1250,35,31433374,646813,30786561,97.9423%,25146.70,42.46,42.28,45.56,42.81
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-2750_QP37_2025-09-30_01-25-26.lvc,2750,37,1090373,492475,597898,54.8343%,872.30,36.07,41.66,44.89,37.41
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-1750_QP35_2025-09-30_01-27-06.lvc,1750,35,10763061,646813,10116248,93.9904%,8610.45,40.01,42.28,45.56,40.92
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-250_QP32_2025-09-30_01-37-34.lvc,250,32,93185148,965233,92219915,98.9642%,74548.12,46.09,43.13,46.66,45.51
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-3250_QP37_2025-09-30_01-43-42.lvc,3250,37,629719,492475,137244,21.7945%,503.78,34.97,41.66,44.89,36.40
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-2250_QP35_2025-09-30_01-44-36.lvc,2250,35,3018689,646813,2371876,78.5730%,2414.95,37.94,42.28,45.56,39.15
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-750_QP32_2025-09-30_01-55-18.lvc,750,32,66747975,965233,65782742,98.5539%,53398.38,45.06,43.13,46.66,44.89
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-2750_QP35_2025-09-30_02-01-02.lvc,2750,35,1155706,646813,508893,44.0331%,924.56,36.55,42.28,45.56,37.90
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-1250_QP32_2025-09-30_02-11-43.lvc,1250,32,28016031,965233,27050798,96.5547%,22412.82,42.73,43.13,46.66,43.26
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-3250_QP35_2025-09-30_02-15-55.lvc,3250,35,768727,646813,121914,15.8592%,614.98,35.46,42.28,45.56,36.90
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-1750_QP32_2025-09-30_02-26-43.lvc,1750,32,8830775,965233,7865542,89.0697%,7064.62,40.37,43.13,46.66,41.37
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-250_QP30_2025-09-30_02-35-52.lvc,250,30,89989398,1251837,88737561,98.6089%,71991.52,46.30,43.73,47.30,45.88
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-2250_QP32_2025-09-30_02-43-44.lvc,2250,32,2639363,965233,1674130,63.4293%,2111.49,38.55,43.13,46.66,39.80
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-750_QP30_2025-09-30_02-52-48.lvc,750,30,63867146,1251837,62615309,98.0399%,51093.72,45.24,43.73,47.30,45.21
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-2750_QP32_2025-09-30_02-59-09.lvc,2750,32,1392173,965233,426940,30.6672%,1113.74,37.30,43.13,46.66,38.67
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-1250_QP30_2025-09-30_03-08-44.lvc,1250,30,25844392,1251837,24592555,95.1563%,20675.51,42.91,43.73,47.30,43.54
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-3250_QP32_2025-09-30_03-14-18.lvc,3250,32,1082122,965233,116889,10.8018%,865.70,36.15,43.13,46.66,37.61
vc-lcevc-01-600frames-420p_LCEVC_VVC_SW2-1750_QP30_2025-09-30_03-23-57.lvc,1750,30,7838078,1251837,6586241,84.0288%,6270.46,40.64,43.73,47.30,41.70
