file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_avg
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-250_QP32_2025-09-29_14-50-02.lvc,250,32,59573148,1220781,58352367,97.9508%,47658.52,48.77,48.27,47.44,48.44
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-250_QP35_2025-09-29_14-50-02.lvc,250,35,65032450,758087,64274363,98.8343%,52025.96,47.47,47.39,44.67,46.85
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-250_QP30_2025-09-29_14-50-26.lvc,250,30,55859885,1701814,54158071,96.9534%,44687.91,50.54,50.59,49.44,50.34
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-250_QP37_2025-09-29_14-52-12.lvc,250,37,68813028,548749,68264279,99.2026%,55050.42,45.33,43.31,43.67,44.63
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-250_QP27_2025-09-29_14-53-19.lvc,250,27,49640186,2796227,46843959,94.3670%,39712.15,51.44,51.20,50.54,51.24
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-250_QP25_2025-09-29_14-58-51.lvc,250,25,50613865,3881137,46732728,92.3319%,40491.09,51.77,51.30,50.82,51.52
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-250_QP22_2025-09-29_15-03-17.lvc,250,22,43510211,6216668,37293543,85.7122%,34808.17,52.12,52.77,52.24,52.24
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-750_QP35_2025-09-29_15-07-22.lvc,750,35,14632030,758087,13873943,94.8190%,11705.62,47.00,47.39,44.67,46.57
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-750_QP32_2025-09-29_15-07-46.lvc,750,32,12259981,1220781,11039200,90.0426%,9807.98,48.25,48.27,47.44,48.11
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-750_QP30_2025-09-29_15-08-28.lvc,750,30,10719305,1701814,9017491,84.1238%,8575.44,49.86,50.59,49.44,49.90
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-750_QP37_2025-09-29_15-09-43.lvc,750,37,16244741,548749,15695992,96.6220%,12995.79,45.03,43.31,43.67,44.45
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-750_QP27_2025-09-29_15-10-14.lvc,750,27,8739906,2796227,5943679,68.0062%,6991.92,50.71,51.20,50.54,50.76
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-750_QP25_2025-09-29_15-16-46.lvc,750,25,8071964,3881137,4190827,51.9183%,6457.57,51.17,51.19,50.61,51.08
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-1250_QP35_2025-09-29_15-29-14.lvc,1250,35,5244774,758087,4486687,85.5459%,4195.82,46.68,47.39,44.67,46.37
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-1250_QP32_2025-09-29_15-30-49.lvc,1250,32,4398635,1220781,3177854,72.2464%,3518.91,47.94,48.27,47.44,47.90
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-750_QP22_2025-09-29_15-28-00.lvc,750,22,8131322,6216668,1914654,23.5467%,6505.06,51.58,52.64,52.02,51.81
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-1250_QP30_2025-09-29_15-34-35.lvc,1250,30,4060114,1701814,2358300,58.0846%,3248.09,49.49,50.59,49.44,49.65
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-1250_QP37_2025-09-29_15-36-30.lvc,1250,37,5947915,548749,5399166,90.7741%,4758.33,44.79,43.31,43.67,44.31
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-1250_QP27_2025-09-29_15-36-30.lvc,1250,27,4091192,2796227,1294965,31.6525%,3272.95,50.39,51.20,50.54,50.54
vc-philips-01-600frames-420p_AVC-Only_QP37.264,264,37,1927188,0,0,0%,1541.75,45.93,43.43,41.30,44.33
vc-philips-01-600frames-420p_AVC-Only_QP35.264,264,35,2556405,0,0,0%,2045.12,47.20,44.25,43.36,45.74
vc-philips-01-600frames-420p_AVC-Only_QP32.264,264,32,3912764,0,0,0%,3130.21,49.73,49.37,43.54,47.85
vc-philips-01-600frames-420p_AVC-Only_QP30.264,264,30,5246329,0,0,0%,4197.06,50.35,50.25,47.22,49.63
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-1250_QP25_2025-09-29_15-40-19.lvc,1250,25,4735868,3881137,854731,18.0480%,3788.69,50.88,51.17,50.58,50.88
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-1750_QP35_2025-09-29_15-45-33.lvc,1750,35,3113550,758087,2355463,75.6520%,2490.84,46.55,47.39,44.67,46.30
vc-philips-01-600frames-420p_AVC-Only_QP27.264,264,27,7870243,0,0,0%,6296.19,52.42,51.63,48.82,51.45
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-1750_QP32_2025-09-29_15-48-19.lvc,1750,32,2890692,1220781,1669911,57.7686%,2312.55,47.83,48.27,47.44,47.84
vc-philips-01-600frames-420p_AVC-Only_QP25.264,264,25,10268213,0,0,0%,8214.57,52.95,50.72,51.42,52.22
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-1250_QP22_2025-09-29_15-48-15.lvc,1250,22,6592411,6216668,375743,5.6996%,5273.93,51.33,52.62,51.99,51.63
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-1750_QP30_2025-09-29_15-50-51.lvc,1750,30,2954795,1701814,1252981,42.4050%,2363.84,49.35,50.59,49.44,49.55
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-1750_QP27_2025-09-29_15-53-34.lvc,1750,27,3552587,2796227,756360,21.2904%,2842.07,50.27,51.20,50.54,50.46
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-1750_QP37_2025-09-29_15-54-04.lvc,1750,37,3403649,548749,2854900,83.8776%,2722.92,44.70,43.31,43.67,44.26
vc-philips-01-600frames-420p_AVC-Only_QP22.264,264,22,15441019,0,0,0%,12352.82,53.46,52.21,51.83,52.92
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-2250_QP35_2025-09-29_16-17-57.lvc,2250,35,2970516,758087,2212429,74.4796%,2376.41,46.50,47.39,44.67,46.26
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-2250_QP32_2025-09-29_16-18-27.lvc,2250,32,2758020,1220781,1537239,55.7371%,2206.42,47.77,48.27,47.44,47.79
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-1750_QP25_2025-09-29_16-15-27.lvc,1750,25,4465567,3881137,584430,13.0875%,3572.45,50.76,51.18,50.57,50.80
vc-philips-01-600frames-420p_LCEVC_AVC_SW2-2250_QP30_2025-09-29_16-20-13.lvc,2250,30,2848506,1701814,1146692,40.2559%,2278.80,49.29,50.59,49.44,49.51
