file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_avg
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-250_QP37_2025-10-05_18-06-53.lvc,250,37,124671091,315192,124355899,99.7472%,99736.87,46.25,49.34,50.39,47.15
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-750_QP37_2025-10-05_18-29-08.lvc,750,37,15640045,315192,15324853,97.9847%,12512.04,41.69,49.34,50.39,43.13
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-250_QP35_2025-10-05_18-34-52.lvc,250,35,116777084,425978,116351106,99.6352%,93421.67,46.62,49.63,50.75,47.51
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-1250_QP37_2025-10-05_18-48-13.lvc,1250,37,6353384,315192,6038192,95.0390%,5082.71,39.86,49.34,50.39,41.41
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-750_QP35_2025-10-05_18-55-37.lvc,750,35,13162393,425978,12736415,96.7637%,10529.91,42.05,49.63,50.75,43.49
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-1750_QP37_2025-10-05_19-06-29.lvc,1750,37,4816117,315192,4500925,93.4555%,3852.89,39.44,49.34,50.39,41.01
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-1250_QP35_2025-10-05_19-13-00.lvc,1250,35,5277973,425978,4851995,91.9291%,4222.38,40.48,49.63,50.75,42.01
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-2250_QP37_2025-10-05_19-26-30.lvc,2250,37,4737532,315192,4422340,93.3469%,3790.03,39.40,49.34,50.39,40.97
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-1750_QP35_2025-10-05_19-32-06.lvc,1750,35,4143628,425978,3717650,89.7197%,3314.90,40.21,49.63,50.75,41.76
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-250_QP32_2025-10-05_19-29-07.lvc,250,32,104923527,655797,104267730,99.3750%,83938.82,47.09,50.09,51.24,47.98
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-2750_QP37_2025-10-05_19-45-27.lvc,2750,37,2955774,315192,2640582,89.3364%,2364.62,39.24,49.34,50.39,40.82
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-750_QP32_2025-10-05_19-48-33.lvc,750,32,9885831,655797,9230034,93.3663%,7908.66,42.64,50.09,51.24,44.06
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-2250_QP35_2025-10-05_19-48-32.lvc,2250,35,3924674,425978,3498696,89.1462%,3139.74,40.19,49.63,50.75,41.74
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-3250_QP37_2025-10-05_20-04-31.lvc,3250,37,1190559,315192,875367,73.5257%,952.45,39.02,49.34,50.39,40.60
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-2750_QP35_2025-10-05_20-06-45.lvc,2750,35,2527097,425978,2101119,83.1436%,2021.68,40.06,49.63,50.75,41.61
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-1250_QP32_2025-10-05_20-06-45.lvc,1250,32,4002829,655797,3347032,83.6167%,3202.26,41.50,50.09,51.24,43.00
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-250_QP30_2025-10-05_20-21-04.lvc,250,30,97259337,871630,96387707,99.1038%,77807.47,47.39,50.39,51.52,48.28
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-3250_QP35_2025-10-05_20-22-09.lvc,3250,35,1022565,425978,596587,58.3422%,818.05,39.90,49.63,50.75,41.46
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-1750_QP32_2025-10-05_20-22-13.lvc,1750,32,3372262,655797,2716465,80.5532%,2697.81,41.37,50.09,51.24,42.88
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-2250_QP32_2025-10-05_20-39-52.lvc,2250,32,3146728,655797,2490931,79.1594%,2517.38,41.35,50.09,51.24,42.86
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-750_QP30_2025-10-05_20-39-30.lvc,750,30,8005199,871630,7133569,89.1117%,6404.16,43.12,50.39,51.52,44.53
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-2750_QP32_2025-10-05_20-56-41.lvc,2750,32,2055181,655797,1399384,68.0905%,1644.14,41.27,50.09,51.24,42.78
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-1250_QP30_2025-10-05_20-56-42.lvc,1250,30,3371725,871630,2500095,74.1488%,2697.38,42.28,50.39,51.52,43.76
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-1750_QP30_2025-10-05_21-14-37.lvc,1750,30,2975855,871630,2104225,70.7099%,2380.68,42.20,50.39,51.52,43.68
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-3250_QP32_2025-10-05_21-14-37.lvc,3250,32,931460,655797,275663,29.5947%,745.17,41.19,50.09,51.24,42.71
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-2250_QP30_2025-10-05_21-29-44.lvc,2250,30,2790357,871630,1918727,68.7628%,2232.29,42.19,50.39,51.52,43.67
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-2750_QP30_2025-10-05_21-42-57.lvc,2750,30,1853104,871630,981474,52.9638%,1482.48,42.13,50.39,51.52,43.61
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-3250_QP30_2025-10-05_21-56-53.lvc,3250,30,1008923,871630,137293,13.6079%,807.14,42.10,50.39,51.52,43.58
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-250_QP27_2025-10-05_21-59-28.lvc,250,27,85921909,1335485,84586424,98.4457%,68737.53,47.84,50.97,51.95,48.74
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-750_QP27_2025-10-05_22-14-19.lvc,750,27,5741658,1335485,4406173,76.7404%,4593.33,43.97,50.97,51.95,45.35
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-1250_QP27_2025-10-05_22-28-41.lvc,1250,27,2806013,1335485,1470528,52.4063%,2244.81,43.49,50.97,51.95,44.92
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-1750_QP27_2025-10-05_22-44-46.lvc,1750,27,2624334,1335485,1288849,49.1115%,2099.47,43.45,50.97,51.95,44.88
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-2250_QP27_2025-10-05_22-58-31.lvc,2250,27,2511847,1335485,1176362,46.8325%,2009.48,43.45,50.97,51.95,44.88
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-2750_QP27_2025-10-05_23-12-16.lvc,2750,27,1823602,1335485,488117,26.7666%,1458.88,43.42,50.97,51.95,44.85
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-3250_QP27_2025-10-05_23-25-54.lvc,3250,27,1375765,1335485,40280,2.9278%,1100.61,43.42,50.97,51.95,44.85
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-250_QP25_2025-10-05_23-50-01.lvc,250,25,80881795,1822796,79058999,97.7463%,64705.44,48.11,51.68,52.45,49.08
vc-philips-03-600frames-420p_VVC-Only_QP37.bin,265,37,1295105,0,0,0%,1036.08,41.65,50.27,51.37,43.16
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-750_QP25_2025-10-06_00-08-45.lvc,750,25,4805649,1822796,2982853,62.0697%,3844.52,44.57,51.21,52.17,45.92
vc-philips-03-600frames-420p_LCEVC_VVC_SW2-1250_QP25_2025-10-06_00-25-27.lvc,1250,25,2794320,1822796,971524,34.7678%,2235.46,44.25,51.21,52.17,45.64
